match_date,match_time,final_score,home_team,away_team,goals,season,round
12. september 2020,15:00,1:1,Barrow AFC,Stevenage FC,"{'12': 'home', '85': 'away'}",2020-2021,1
12. september 2020,15:00,0:1,Bolton Wanderers,Forest Green Rovers,{None: 'away'},2020-2021,1
12. september 2020,15:00,0:0,Bradford City,Colchester United,,2020-2021,1
12. september 2020,15:00,3:0,Cambridge United,Carlisle United,{None: 'home'},2020-2021,1
12. september 2020,15:00,1:2,Cheltenham Town,Morecambe FC,"{None: 'away', '78': 'away'}",2020-2021,1
12. september 2020,15:00,1:0,Walsall FC,Grimsby Town,{None: 'home'},2020-2021,1
12. september 2020,15:00,0:0,Mansfield Town,Tranmere Rovers,,2020-2021,1
12. september 2020,15:00,0:1,Oldham Athletic,Leyton Orient,{None: 'away'},2020-2021,1
12. september 2020,15:00,2:0,Port Vale FC,Crawley Town,{None: 'home'},2020-2021,1
12. september 2020,15:00,2:2,Salford City,Exeter City,{None: 'home'},2020-2021,1
12. september 2020,15:00,1:1,Scunthorpe United,Newport County,{None: 'home'},2020-2021,1
12. september 2020,15:00,0:4,Southend United,Harrogate Town,{None: 'away'},2020-2021,1
19. september 2020,13:00,2:0,Carlisle United,Southend United,{None: 'home'},2020-2021,2
19. september 2020,15:00,2:0,Colchester United,Bolton Wanderers,{None: 'home'},2020-2021,2
19. september 2020,15:00,1:0,Crawley Town,Scunthorpe United,{None: 'home'},2020-2021,2
19. september 2020,15:00,0:2,Exeter City,Port Vale FC,{None: 'away'},2020-2021,2
19. september 2020,15:00,0:5,Morecambe FC,Cambridge United,"{None: 'away', '34': 'away'}",2020-2021,2
19. september 2020,15:00,3:0,Stevenage FC,Oldham Athletic,{None: 'home'},2020-2021,2
19. september 2020,15:00,2:2,Forest Green Rovers,Bradford City,{None: 'home'},2020-2021,2
19. september 2020,15:00,0:4,Grimsby Town,Salford City,"{None: 'away', '32': 'away', '63': 'away'}",2020-2021,2
19. september 2020,15:00,2:2,Harrogate Town,Walsall FC,{None: 'away'},2020-2021,2
19. september 2020,15:00,2:2,Leyton Orient,Mansfield Town,"{'52': 'away', None: 'home'}",2020-2021,2
19. september 2020,15:00,2:1,Newport County,Barrow AFC,{None: 'home'},2020-2021,2
19. september 2020,15:00,0:3,Tranmere Rovers,Cheltenham Town,"{None: 'away', '39': 'away'}",2020-2021,2
26. september 2020,15:00,1:1,Barrow AFC,Colchester United,{None: 'home'},2020-2021,3
26. september 2020,15:00,0:2,Bolton Wanderers,Newport County,{None: 'away'},2020-2021,3
26. september 2020,15:00,2:1,Bradford City,Stevenage FC,{None: 'home'},2020-2021,3
26. september 2020,15:00,0:0,Cambridge United,Tranmere Rovers,,2020-2021,3
26. september 2020,15:00,1:2,Mansfield Town,Exeter City,"{None: 'away', '40': 'away'}",2020-2021,3
26. september 2020,15:00,2:3,Oldham Athletic,Crawley Town,{None: 'home'},2020-2021,3
26. september 2020,15:00,0:0,Port Vale FC,Harrogate Town,,2020-2021,3
26. september 2020,15:00,0:0,Salford City,Forest Green Rovers,,2020-2021,3
26. september 2020,15:00,1:0,Scunthorpe United,Carlisle United,{None: 'home'},2020-2021,3
26. september 2020,15:00,1:2,Southend United,Morecambe FC,"{'5': 'home', None: 'away'}",2020-2021,3
13. october 2020,19:00,1:3,Cheltenham Town,Grimsby Town,{None: 'away'},2020-2021,3
13. october 2020,19:00,2:1,Walsall FC,Leyton Orient,{None: 'home'},2020-2021,3
3. october 2020,15:00,1:0,Carlisle United,Barrow AFC,{None: 'home'},2020-2021,4
3. october 2020,15:00,3:3,Colchester United,Oldham Athletic,"{None: 'away', '37': 'home', '52': 'away'}",2020-2021,4
3. october 2020,15:00,1:1,Crawley Town,Southend United,{None: 'away'},2020-2021,4
3. october 2020,15:00,2:0,Exeter City,Cambridge United,"{'16': 'home', None: 'home'}",2020-2021,4
3. october 2020,15:00,1:0,Morecambe FC,Port Vale FC,{'76': 'home'},2020-2021,4
3. october 2020,15:00,0:1,Stevenage FC,Salford City,{None: 'away'},2020-2021,4
3. october 2020,15:00,1:1,Forest Green Rovers,Walsall FC,{None: 'home'},2020-2021,4
3. october 2020,15:00,1:2,Harrogate Town,Bolton Wanderers,{None: 'home'},2020-2021,4
3. october 2020,15:00,0:2,Leyton Orient,Cheltenham Town,"{'16': 'away', None: 'away'}",2020-2021,4
3. october 2020,15:00,2:1,Newport County,Mansfield Town,"{None: 'home', '88': 'home'}",2020-2021,4
3. october 2020,15:00,2:0,Tranmere Rovers,Scunthorpe United,{None: 'home'},2020-2021,4
22. december 2020,19:00,1:2,Grimsby Town,Bradford City,{None: 'home'},2020-2021,4
10. october 2020,15:00,1:1,Barrow AFC,Leyton Orient,{None: 'away'},2020-2021,5
10. october 2020,15:00,0:0,Bolton Wanderers,Grimsby Town,,2020-2021,5
10. october 2020,15:00,2:1,Cambridge United,Newport County,{None: 'away'},2020-2021,5
10. october 2020,15:00,2:0,Cheltenham Town,Crawley Town,"{'33': 'home', None: 'home'}",2020-2021,5
10. october 2020,15:00,1:1,Walsall FC,Colchester United,{None: 'home'},2020-2021,5
10. october 2020,15:00,0:0,Mansfield Town,Stevenage FC,,2020-2021,5
10. october 2020,15:00,2:3,Oldham Athletic,Morecambe FC,{None: 'home'},2020-2021,5
10. october 2020,15:00,0:1,Port Vale FC,Carlisle United,{None: 'away'},2020-2021,5
10. october 2020,15:00,2:2,Salford City,Tranmere Rovers,{None: 'away'},2020-2021,5
10. october 2020,15:00,1:4,Scunthorpe United,Forest Green Rovers,{None: 'away'},2020-2021,5
10. october 2020,15:00,2:2,Southend United,Exeter City,"{None: 'away', '65': 'home'}",2020-2021,5
12. october 2020,19:45,0:1,Bradford City,Harrogate Town,{None: 'away'},2020-2021,5
17. october 2020,15:00,1:2,Bolton Wanderers,Oldham Athletic,{None: 'away'},2020-2021,6
17. october 2020,15:00,3:2,Carlisle United,Colchester United,"{None: 'home', '52': 'away'}",2020-2021,6
17. october 2020,15:00,4:0,Crawley Town,Morecambe FC,{None: 'home'},2020-2021,6
17. october 2020,15:00,0:0,Walsall FC,Exeter City,,2020-2021,6
17. october 2020,15:00,1:0,Forest Green Rovers,Stevenage FC,{None: 'home'},2020-2021,6
17. october 2020,15:00,1:0,Harrogate Town,Barrow AFC,{None: 'home'},2020-2021,6
17. october 2020,15:00,1:3,Mansfield Town,Bradford City,"{'8': 'away', None: 'home'}",2020-2021,6
17. october 2020,15:00,1:0,Newport County,Tranmere Rovers,{None: 'home'},2020-2021,6
17. october 2020,15:00,1:0,Port Vale FC,Salford City,{None: 'home'},2020-2021,6
