match_date,match_time,final_score,home_team,away_team,season,round,goals
7. march 2023,19:45,3:0,Sutton United,Crawley Town,2022-2023,28,{None: 'home'}
14. march 2023,19:45,0:0,Walsall FC,Swindon Town,2022-2023,28,
14. march 2023,19:45,1:1,Newport County,AFC Wimbledon,2022-2023,28,{None: 'home'}
14. march 2023,19:45,1:0,Northampton Town,Mansfield Town,2022-2023,28,{'28': 'home'}
21. march 2023,19:45,0:0,Bradford City,Carlisle United,2022-2023,28,
28. january 2023,15:00,0:2,Barrow AFC,Northampton Town,2022-2023,29,{None: 'away'}
28. january 2023,15:00,3:2,Crawley Town,Salford City,2022-2023,29,"{None: 'away', '90': 'away'}"
28. january 2023,15:00,0:1,Harrogate Town,Sutton United,2022-2023,29,{None: 'away'}
28. january 2023,15:00,1:2,Hartlepool United,Colchester United,2022-2023,29,"{None: 'home', '87': 'away'}"
28. january 2023,15:00,4:1,Mansfield Town,Doncaster Rovers,2022-2023,29,"{'1': 'home', None: 'home'}"
28. january 2023,15:00,0:1,Rochdale AFC,Carlisle United,2022-2023,29,{None: 'away'}
28. january 2023,15:00,3:3,Swindon Town,Gillingham FC,2022-2023,29,"{None: 'home', '9': 'away', '57': 'home'}"
28. january 2023,15:00,1:0,Tranmere Rovers,Leyton Orient,2022-2023,29,{'82': 'home'}
28. january 2023,15:00,1:0,AFC Wimbledon,Stockport County,2022-2023,29,{None: 'home'}
7. march 2023,19:45,0:0,Walsall FC,Bradford City,2022-2023,29,
7. march 2023,19:45,1:1,Grimsby Town,Newport County,2022-2023,29,{None: 'away'}
14. march 2023,19:45,1:0,Stevenage FC,Crewe Alexandra,2022-2023,29,{None: 'home'}
4. february 2023,12:45,2:1,Newport County,Swindon Town,2022-2023,30,"{None: 'home', '90': 'away'}"
4. february 2023,15:00,1:1,Bradford City,Mansfield Town,2022-2023,30,"{None: 'home', '90': 'away'}"
4. february 2023,15:00,0:1,Carlisle United,Harrogate Town,2022-2023,30,{'82': 'away'}
4. february 2023,15:00,1:1,Colchester United,Barrow AFC,2022-2023,30,"{None: 'away', '90': 'home'}"
4. february 2023,15:00,0:3,Crewe Alexandra,Grimsby Town,2022-2023,30,{None: 'away'}
4. february 2023,15:00,0:1,Doncaster Rovers,Hartlepool United,2022-2023,30,{None: 'away'}
4. february 2023,15:00,1:0,Gillingham FC,Crawley Town,2022-2023,30,{None: 'home'}
4. february 2023,15:00,1:0,Leyton Orient,AFC Wimbledon,2022-2023,30,{None: 'home'}
4. february 2023,15:00,0:0,Northampton Town,Walsall FC,2022-2023,30,
4. february 2023,15:00,2:1,Salford City,Rochdale AFC,2022-2023,30,{None: 'away'}
4. february 2023,15:00,3:2,Stockport County,Tranmere Rovers,2022-2023,30,"{None: 'away', '41': 'away'}"
4. february 2023,15:00,0:0,Sutton United,Stevenage FC,2022-2023,30,
11. february 2023,15:00,0:1,Barrow AFC,Newport County,2022-2023,31,{'90': 'away'}
11. february 2023,15:00,2:2,Crawley Town,Crewe Alexandra,2022-2023,31,"{'19': 'home', None: 'away', '61': 'away', '90': 'home'}"
11. february 2023,15:00,2:3,Stevenage FC,Bradford City,2022-2023,31,"{None: 'away', '56': 'away'}"
11. february 2023,15:00,1:1,Walsall FC,Leyton Orient,2022-2023,31,{None: 'away'}
11. february 2023,15:00,0:1,Grimsby Town,Colchester United,2022-2023,31,{None: 'away'}
11. february 2023,15:00,1:3,Harrogate Town,Stockport County,2022-2023,31,"{None: 'away', '63': 'home'}"
11. february 2023,15:00,2:2,Hartlepool United,Sutton United,2022-2023,31,"{None: 'home', '45': 'home'}"
11. february 2023,15:00,2:0,Mansfield Town,Gillingham FC,2022-2023,31,"{None: 'home', '35': 'home'}"
11. february 2023,15:00,1:1,Rochdale AFC,Northampton Town,2022-2023,31,{None: 'away'}
11. february 2023,15:00,0:2,Swindon Town,Doncaster Rovers,2022-2023,31,{None: 'away'}
11. february 2023,15:00,1:0,Tranmere Rovers,Salford City,2022-2023,31,{None: 'home'}
11. february 2023,15:00,0:0,AFC Wimbledon,Carlisle United,2022-2023,31,
14. february 2023,19:45,2:0,Bradford City,Tranmere Rovers,2022-2023,32,{None: 'home'}
14. february 2023,19:45,0:4,Carlisle United,Mansfield Town,2022-2023,32,"{None: 'away', '29': 'away'}"
14. february 2023,19:45,0:0,Colchester United,Walsall FC,2022-2023,32,
14. february 2023,19:45,2:0,Crewe Alexandra,Hartlepool United,2022-2023,32,{None: 'home'}
14. february 2023,19:45,2:1,Gillingham FC,Grimsby Town,2022-2023,32,{None: 'home'}
14. february 2023,19:45,2:1,Leyton Orient,Rochdale AFC,2022-2023,32,{None: 'away'}
14. february 2023,19:45,2:2,Newport County,Stevenage FC,2022-2023,32,"{None: 'away', '84': 'home'}"
14. february 2023,19:45,0:0,Northampton Town,AFC Wimbledon,2022-2023,32,
14. february 2023,19:45,1:1,Salford City,Harrogate Town,2022-2023,32,{None: 'home'}
14. february 2023,19:45,2:1,Stockport County,Crawley Town,2022-2023,32,{None: 'home'}
14. february 2023,19:45,2:1,Sutton United,Swindon Town,2022-2023,32,{None: 'home'}
14. february 2023,19:45,1:0,Doncaster Rovers,Barrow AFC,2022-2023,32,{None: 'home'}
18. february 2023,14:00,1:2,Northampton Town,Grimsby Town,2022-2023,33,"{None: 'away', '90': 'away'}"
18. february 2023,15:00,0:1,Bradford City,Barrow AFC,2022-2023,33,{None: 'away'}
18. february 2023,15:00,1:0,Carlisle United,Colchester United,2022-2023,33,{None: 'home'}
18. february 2023,15:00,1:1,Walsall FC,Newport County,2022-2023,33,{None: 'away'}
18. february 2023,15:00,2:2,Harrogate Town,Crewe Alexandra,2022-2023,33,"{None: 'away', '83': 'away'}"
18. february 2023,15:00,1:0,Leyton Orient,Crawley Town,2022-2023,33,{None: 'home'}
18. february 2023,15:00,0:2,Rochdale AFC,Gillingham FC,2022-2023,33,{None: 'away'}
18. february 2023,15:00,1:2,Salford City,Swindon Town,2022-2023,33,"{None: 'away', '55': 'away'}"
18. february 2023,15:00,2:0,Stockport County,Stevenage FC,2022-2023,33,"{None: 'home', '90': 'home'}"
18. february 2023,15:00,2:0,Sutton United,Doncaster Rovers,2022-2023,33,{None: 'home'}
18. february 2023,15:00,0:2,Tranmere Rovers,Mansfield Town,2022-2023,33,{None: 'away'}
18. february 2023,15:00,2:2,AFC Wimbledon,Hartlepool United,2022-2023,33,"{None: 'away', '90': 'away'}"
25. february 2023,15:00,1:0,Barrow AFC,Stockport County,2022-2023,34,{None: 'home'}
25. february 2023,15:00,0:1,Colchester United,Northampton Town,2022-2023,34,{None: 'away'}
25. february 2023,15:00,2:5,Crawley Town,Carlisle United,2022-2023,34,{None: 'home'}
25. february 2023,15:00,1:1,Crewe Alexandra,Rochdale AFC,2022-2023,34,{None: 'away'}
25. february 2023,15:00,0:1,Doncaster Rovers,Bradford City,2022-2023,34,{None: 'away'}
25. february 2023,15:00,2:1,Gillingham FC,AFC Wimbledon,2022-2023,34,{None: 'home'}
25. february 2023,15:00,0:1,Stevenage FC,Tranmere Rovers,2022-2023,34,{'73': 'away'}
25. february 2023,15:00,2:2,Grimsby Town,Leyton Orient,2022-2023,34,{None: 'away'}
25. february 2023,15:00,3:3,Hartlepool United,Walsall FC,2022-2023,34,"{None: 'away', '56': 'home', '90': 'home'}"
25. february 2023,15:00,2:5,Mansfield Town,Salford City,2022-2023,34,{None: 'home'}
25. february 2023,15:00,0:2,Newport County,Sutton United,2022-2023,34,{None: 'away'}
25. february 2023,15:00,3:0,Swindon Town,Harrogate Town,2022-2023,34,{None: 'home'}
4. march 2023,15:00,2:0,Bradford City,Colchester United,2022-2023,35,{'90': 'home'}
4. march 2023,15:00,2:0,Carlisle United,Grimsby Town,2022-2023,35,{None: 'home'}
4. march 2023,15:00,0:1,Walsall FC,Barrow AFC,2022-2023,35,{None: 'away'}
4. march 2023,15:00,0:0,Harrogate Town,Gillingham FC,2022-2023,35,
4. march 2023,15:00,1:1,Leyton Orient,Swindon Town,2022-2023,35,{None: 'away'}
4. march 2023,15:00,1:0,Northampton Town,Crawley Town,2022-2023,35,{None: 'home'}
4. march 2023,15:00,2:0,Rochdale AFC,Stevenage FC,2022-2023,35,{None: 'home'}
4. march 2023,15:00,3:1,Salford City,Newport County,2022-2023,35,"{None: 'home', '45': 'home', '90': 'home'}"
4. march 2023,15:00,0:0,Stockport County,Doncaster Rovers,2022-2023,35,
4. march 2023,15:00,1:1,Sutton United,Crewe Alexandra,2022-2023,35,"{None: 'away', '90': 'home'}"
4. march 2023,15:00,1:1,Tranmere Rovers,Hartlepool United,2022-2023,35,"{None: 'away', '68': 'home'}"
4. march 2023,15:00,1:3,AFC Wimbledon,Mansfield Town,2022-2023,35,{None: 'away'}
10. march 2023,19:45,4:3,Crewe Alexandra,Salford City,2022-2023,36,"{None: 'home', '31': 'home'}"
11. march 2023,15:00,0:0,Barrow AFC,Sutton United,2022-2023,36,
11. march 2023,15:00,0:1,Colchester United,Stockport County,2022-2023,36,{None: 'away'}
11. march 2023,15:00,3:1,Crawley Town,Harrogate Town,2022-2023,36,"{None: 'home', '90': 'away'}"
11. march 2023,15:00,2:1,Doncaster Rovers,AFC Wimbledon,2022-2023,36,{None: 'home'}
11. march 2023,15:00,2:0,Gillingham FC,Tranmere Rovers,2022-2023,36,{None: 'home'}
11. march 2023,15:00,3:1,Stevenage FC,Walsall FC,2022-2023,36,{None: 'home'}
11. march 2023,15:00,1:0,Grimsby Town,Rochdale AFC,2022-2023,36,{None: 'home'}
11. march 2023,15:00,1:1,Hartlepool United,Northampton Town,2022-2023,36,{None: 'away'}
11. march 2023,15:00,1:1,Newport County,Bradford City,2022-2023,36,"{None: 'away', '61': 'home'}"
11. march 2023,15:00,1:2,Swindon Town,Carlisle United,2022-2023,36,"{None: 'home', '90': 'away'}"
25. april 2023,19:45,1:2,Mansfield Town,Leyton Orient,2022-2023,36,{None: 'away'}
14. march 2023,19:45,0:1,Sutton United,Grimsby Town,2022-2023,37,{None: 'away'}
18. march 2023,13:00,2:2,Bradford City,Hartlepool United,2022-2023,37,{None: 'home'}
18. march 2023,15:00,0:0,Carlisle United,Stevenage FC,2022-2023,37,
18. march 2023,15:00,2:0,Walsall FC,Gillingham FC,2022-2023,37,"{None: 'home', '90': 'home'}"
18. march 2023,15:00,1:0,Harrogate Town,Barrow AFC,2022-2023,37,{None: 'home'}
18. march 2023,15:00,2:2,Leyton Orient,Colchester United,2022-2023,37,"{'33': 'home', None: 'away', '90': 'away'}"
18. march 2023,15:00,1:0,Northampton Town,Crewe Alexandra,2022-2023,37,{None: 'home'}
18. march 2023,15:00,4:4,Rochdale AFC,Swindon Town,2022-2023,37,"{None: 'away', '90': 'home'}"
18. march 2023,15:00,3:1,Salford City,Doncaster Rovers,2022-2023,37,{None: 'home'}
18. march 2023,15:00,1:1,Stockport County,Mansfield Town,2022-2023,37,"{None: 'home', '90': 'away'}"
18. march 2023,15:00,1:3,Tranmere Rovers,Newport County,2022-2023,37,"{None: 'away', '90': 'home'}"
18. march 2023,15:00,0:1,AFC Wimbledon,Crawley Town,2022-2023,37,{None: 'away'}
25. march 2023,15:00,2:1,Barrow AFC,AFC Wimbledon,2022-2023,38,{None: 'home'}
25. march 2023,15:00,1:1,Colchester United,Tranmere Rovers,2022-2023,38,"{None: 'away', '65': 'home'}"
25. march 2023,15:00,2:0,Crawley Town,Rochdale AFC,2022-2023,38,{None: 'home'}
25. march 2023,15:00,0:2,Doncaster Rovers,Northampton Town,2022-2023,38,{None: 'away'}
25. march 2023,15:00,1:0,Gillingham FC,Carlisle United,2022-2023,38,{'90': 'home'}
25. march 2023,15:00,1:3,Stevenage FC,Salford City,2022-2023,38,"{None: 'home', '90': 'away'}"
25. march 2023,15:00,1:1,Grimsby Town,Walsall FC,2022-2023,38,{None: 'away'}
25. march 2023,15:00,1:1,Hartlepool United,Leyton Orient,2022-2023,38,{None: 'home'}
25. march 2023,15:00,0:0,Mansfield Town,Sutton United,2022-2023,38,
25. march 2023,15:00,0:1,Swindon Town,Stockport County,2022-2023,38,{None: 'away'}
25. april 2023,19:45,2:3,Newport County,Harrogate Town,2022-2023,38,{None: 'away'}
3. may 2023,19:45,3:2,Crewe Alexandra,Bradford City,2022-2023,38,"{None: 'away', '90': 'home'}"
31. march 2023,19:45,1:1,Stockport County,Salford City,2022-2023,39,{None: 'away'}
31. march 2023,19:45,1:1,Tranmere Rovers,Harrogate Town,2022-2023,39,"{None: 'away', '36': 'home'}"
1. april 2023,13:00,3:2,Bradford City,Grimsby Town,2022-2023,39,"{None: 'home', '23': 'away'}"
1. april 2023,15:00,2:1,Barrow AFC,Gillingham FC,2022-2023,39,"{'9': 'home', None: 'away', '90': 'home'}"
1. april 2023,15:00,0:0,Colchester United,Newport County,2022-2023,39,
1. april 2023,15:00,0:2,Doncaster Rovers,Crewe Alexandra,2022-2023,39,{None: 'away'}
1. april 2023,15:00,1:1,Walsall FC,Sutton United,2022-2023,39,"{None: 'away', '90': 'home'}"
1. april 2023,15:00,2:1,Hartlepool United,Swindon Town,2022-2023,39,"{None: 'home', '90': 'home'}"
1. april 2023,15:00,1:0,Leyton Orient,Carlisle United,2022-2023,39,{'73': 'home'}
1. april 2023,15:00,4:1,Mansfield Town,Crawley Town,2022-2023,39,{None: 'away'}
1. april 2023,15:00,1:1,Northampton Town,Stevenage FC,2022-2023,39,{None: 'away'}
1. april 2023,15:00,0:1,AFC Wimbledon,Rochdale AFC,2022-2023,39,{None: 'away'}
7. april 2023,15:00,2:0,Carlisle United,Tranmere Rovers,2022-2023,40,{None: 'home'}
7. april 2023,15:00,0:0,Crawley Town,Bradford City,2022-2023,40,
7. april 2023,15:00,3:0,Crewe Alexandra,Barrow AFC,2022-2023,40,"{'14': 'home', '33': 'home', None: 'home'}"
7. april 2023,15:00,1:0,Gillingham FC,Doncaster Rovers,2022-2023,40,{None: 'home'}
7. april 2023,15:00,1:1,Stevenage FC,Colchester United,2022-2023,40,{None: 'home'}
7. april 2023,15:00,1:4,Grimsby Town,Hartlepool United,2022-2023,40,"{None: 'away', '68': 'away'}"
7. april 2023,15:00,2:2,Harrogate Town,AFC Wimbledon,2022-2023,40,"{None: 'home', '90': 'home'}"
7. april 2023,15:00,3:0,Newport County,Northampton Town,2022-2023,40,"{None: 'home', '90': 'home'}"
7. april 2023,15:00,4:2,Rochdale AFC,Walsall FC,2022-2023,40,{None: 'home'}
7. april 2023,15:00,0:2,Salford City,Leyton Orient,2022-2023,40,{None: 'away'}
7. april 2023,15:00,0:1,Sutton United,Stockport County,2022-2023,40,{None: 'away'}
7. april 2023,15:00,2:4,Swindon Town,Mansfield Town,2022-2023,40,{None: 'home'}
10. april 2023,15:00,4:0,Barrow AFC,Crawley Town,2022-2023,41,"{None: 'home', '55': 'home'}"
10. april 2023,15:00,3:1,Bradford City,Sutton United,2022-2023,41,{None: 'away'}
10. april 2023,15:00,4:0,Colchester United,Crewe Alexandra,2022-2023,41,{None: 'home'}
10. april 2023,15:00,1:2,Doncaster Rovers,Grimsby Town,2022-2023,41,"{None: 'away', '90': 'away'}"
10. april 2023,15:00,0:0,Walsall FC,Carlisle United,2022-2023,41,
10. april 2023,15:00,1:1,Hartlepool United,Stevenage FC,2022-2023,41,{None: 'home'}
10. april 2023,15:00,2:2,Leyton Orient,Harrogate Town,2022-2023,41,{None: 'away'}
10. april 2023,15:00,1:1,Mansfield Town,Rochdale AFC,2022-2023,41,{None: 'away'}
10. april 2023,15:00,2:1,Northampton Town,Gillingham FC,2022-2023,41,{None: 'home'}
10. april 2023,15:00,4:0,Stockport County,Newport County,2022-2023,41,"{None: 'home', '45': 'home'}"
10. april 2023,15:00,1:0,Tranmere Rovers,Swindon Town,2022-2023,41,{None: 'home'}
10. april 2023,15:00,2:3,AFC Wimbledon,Salford City,2022-2023,41,"{None: 'home', '90': 'away'}"
15. april 2023,15:00,0:0,Carlisle United,Northampton Town,2022-2023,42,
15. april 2023,15:00,2:1,Crawley Town,Tranmere Rovers,2022-2023,42,{None: 'home'}
15. april 2023,15:00,2:0,Crewe Alexandra,Walsall FC,2022-2023,42,{None: 'home'}
15. april 2023,15:00,1:1,Gillingham FC,Stockport County,2022-2023,42,{None: 'away'}
15. april 2023,15:00,2:1,Stevenage FC,AFC Wimbledon,2022-2023,42,{None: 'home'}
15. april 2023,15:00,1:1,Grimsby Town,Mansfield Town,2022-2023,42,{None: 'home'}
15. april 2023,15:00,2:2,Harrogate Town,Doncaster Rovers,2022-2023,42,{None: 'home'}
15. april 2023,15:00,2:0,Newport County,Hartlepool United,2022-2023,42,{None: 'home'}
15. april 2023,15:00,0:3,Rochdale AFC,Bradford City,2022-2023,42,"{None: 'away', '74': 'away'}"
15. april 2023,15:00,0:1,Salford City,Colchester United,2022-2023,42,{None: 'away'}
15. april 2023,15:00,0:2,Sutton United,Leyton Orient,2022-2023,42,{None: 'away'}
15. april 2023,15:00,0:0,Swindon Town,Barrow AFC,2022-2023,42,
7. january 2023,15:00,0:0,Crewe Alexandra,AFC Wimbledon,2022-2023,43,
18. april 2023,19:45,2:2,Carlisle United,Stockport County,2022-2023,43,{None: 'away'}
18. april 2023,19:45,0:0,Crawley Town,Colchester United,2022-2023,43,
18. april 2023,19:45,2:0,Gillingham FC,Leyton Orient,2022-2023,43,"{None: 'home', '76': 'home'}"
18. april 2023,19:45,1:0,Stevenage FC,Doncaster Rovers,2022-2023,43,{None: 'home'}
18. april 2023,19:45,1:0,Grimsby Town,Barrow AFC,2022-2023,43,{None: 'home'}
18. april 2023,19:45,3:0,Harrogate Town,Walsall FC,2022-2023,43,{None: 'home'}
18. april 2023,19:45,1:2,Newport County,Mansfield Town,2022-2023,43,{None: 'home'}
18. april 2023,19:45,2:2,Rochdale AFC,Tranmere Rovers,2022-2023,43,"{'19': 'away', '56': 'away', None: 'home', '90': 'home'}"
18. april 2023,19:45,2:0,Salford City,Hartlepool United,2022-2023,43,{None: 'home'}
18. april 2023,19:45,1:2,Sutton United,Northampton Town,2022-2023,43,"{None: 'away', '45': 'home'}"
18. april 2023,19:45,1:0,Swindon Town,Bradford City,2022-2023,43,{None: 'home'}
22. april 2023,15:00,0:1,Barrow AFC,Carlisle United,2022-2023,44,{None: 'away'}
22. april 2023,15:00,2:2,Bradford City,Gillingham FC,2022-2023,44,"{None: 'home', '84': 'home', '90': 'away'}"
22. april 2023,15:00,4:1,Colchester United,Sutton United,2022-2023,44,{None: 'home'}
22. april 2023,15:00,1:3,Doncaster Rovers,Newport County,2022-2023,44,{None: 'away'}
22. april 2023,15:00,2:3,Walsall FC,Salford City,2022-2023,44,"{None: 'away', '90': 'away'}"
22. april 2023,15:00,0:2,Hartlepool United,Crawley Town,2022-2023,44,{None: 'away'}
22. april 2023,15:00,2:0,Leyton Orient,Crewe Alexandra,2022-2023,44,"{'51': 'home', None: 'home'}"
22. april 2023,15:00,1:0,Mansfield Town,Stevenage FC,2022-2023,44,{None: 'home'}
22. april 2023,15:00,3:1,Northampton Town,Harrogate Town,2022-2023,44,"{None: 'home', '45': 'home'}"
22. april 2023,15:00,1:0,Stockport County,Rochdale AFC,2022-2023,44,{'45': 'home'}
22. april 2023,15:00,2:0,Tranmere Rovers,Grimsby Town,2022-2023,44,"{'33': 'home', None: 'home'}"
22. april 2023,15:00,1:5,AFC Wimbledon,Swindon Town,2022-2023,44,"{None: 'away', '16': 'away', '90': 'away'}"
29. april 2023,15:00,2:3,Carlisle United,Salford City,2022-2023,45,"{None: 'away', '85': 'home'}"
29. april 2023,15:00,0:0,Crawley Town,Walsall FC,2022-2023,45,
29. april 2023,15:00,2:1,Crewe Alexandra,Swindon Town,2022-2023,45,{None: 'home'}
29. april 2023,15:00,1:0,Doncaster Rovers,Colchester United,2022-2023,45,{None: 'home'}
29. april 2023,15:00,1:2,Gillingham FC,Newport County,2022-2023,45,"{None: 'away', '17': 'home'}"
29. april 2023,15:00,2:0,Stevenage FC,Grimsby Town,2022-2023,45,{None: 'home'}
29. april 2023,15:00,3:1,Hartlepool United,Barrow AFC,2022-2023,45,"{None: 'home', '90': 'home'}"
29. april 2023,15:00,0:3,Leyton Orient,Stockport County,2022-2023,45,{None: 'away'}
29. april 2023,15:00,1:2,Mansfield Town,Harrogate Town,2022-2023,45,"{'27': 'away', None: 'home'}"
29. april 2023,15:00,1:2,Northampton Town,Bradford City,2022-2023,45,"{None: 'home', '90': 'away'}"
29. april 2023,15:00,4:1,Rochdale AFC,Sutton United,2022-2023,45,{None: 'home'}
29. april 2023,15:00,1:1,AFC Wimbledon,Tranmere Rovers,2022-2023,45,{None: 'away'}
8. may 2023,12:30,0:1,Barrow AFC,Stevenage FC,2022-2023,46,{None: 'away'}
8. may 2023,12:30,1:1,Bradford City,Leyton Orient,2022-2023,46,{None: 'home'}
8. may 2023,12:30,0:2,Colchester United,Mansfield Town,2022-2023,46,"{'45': 'away', '90': 'away'}"
8. may 2023,12:30,2:1,Walsall FC,Doncaster Rovers,2022-2023,46,{None: 'away'}
8. may 2023,12:30,1:0,Grimsby Town,AFC Wimbledon,2022-2023,46,{'7': 'home'}
8. may 2023,12:30,1:1,Harrogate Town,Rochdale AFC,2022-2023,46,{None: 'home'}
8. may 2023,12:30,2:2,Newport County,Crewe Alexandra,2022-2023,46,"{None: 'away', '77': 'home', '90': 'away'}"
8. may 2023,12:30,0:1,Salford City,Gillingham FC,2022-2023,46,{'84': 'away'}
8. may 2023,12:30,1:1,Stockport County,Hartlepool United,2022-2023,46,"{'39': 'home', None: 'away'}"
8. may 2023,12:30,1:1,Sutton United,Carlisle United,2022-2023,46,"{None: 'home', '85': 'away'}"
8. may 2023,12:30,2:1,Swindon Town,Crawley Town,2022-2023,46,"{None: 'home', '62': 'away'}"
8. may 2023,12:30,0:1,Tranmere Rovers,Northampton Town,2022-2023,46,{None: 'away'}
