match_date,match_time,final_score,home_team,away_team,season,round,goals
4. september 2021,15:00,2:3,Port Vale FC,Rochdale AFC,2021-2022,6,{None: 'away'}
4. september 2021,15:00,1:0,Tranmere Rovers,Hartlepool United,2021-2022,6,{None: 'home'}
26. october 2021,19:45,1:3,Colchester United,Sutton United,2021-2022,6,"{None: 'away', '28': 'away'}"
10. september 2021,19:45,2:3,Barrow AFC,Colchester United,2021-2022,7,"{None: 'away', '76': 'home'}"
10. september 2021,19:45,2:2,Harrogate Town,Newport County,2021-2022,7,{None: 'home'}
11. september 2021,15:00,2:1,Crawley Town,Carlisle United,2021-2022,7,{None: 'home'}
11. september 2021,15:00,3:1,Walsall FC,Mansfield Town,2021-2022,7,{None: 'away'}
11. september 2021,15:00,1:0,Forest Green Rovers,Northampton Town,2021-2022,7,{None: 'home'}
11. september 2021,15:00,1:0,Hartlepool United,Bristol Rovers,2021-2022,7,{None: 'home'}
11. september 2021,15:00,4:0,Leyton Orient,Oldham Athletic,2021-2022,7,{None: 'home'}
11. september 2021,15:00,1:0,Rochdale AFC,Tranmere Rovers,2021-2022,7,{None: 'home'}
11. september 2021,15:00,1:0,Salford City,Bradford City,2021-2022,7,{None: 'home'}
11. september 2021,15:00,0:4,Scunthorpe United,Exeter City,2021-2022,7,{None: 'away'}
11. september 2021,15:00,2:1,Sutton United,Stevenage FC,2021-2022,7,"{None: 'home', '63': 'home'}"
11. september 2021,15:00,1:2,Swindon Town,Port Vale FC,2021-2022,7,{None: 'away'}
18. september 2021,14:00,1:1,Northampton Town,Swindon Town,2021-2022,8,{None: 'home'}
18. september 2021,15:00,1:1,Bradford City,Barrow AFC,2021-2022,8,{None: 'home'}
18. september 2021,15:00,1:3,Bristol Rovers,Leyton Orient,2021-2022,8,"{None: 'away', '90': 'home'}"
18. september 2021,15:00,2:2,Carlisle United,Scunthorpe United,2021-2022,8,{None: 'home'}
18. september 2021,15:00,0:1,Colchester United,Crawley Town,2021-2022,8,{None: 'away'}
18. september 2021,15:00,2:0,Exeter City,Sutton United,2021-2022,8,"{'68': 'home', None: 'home'}"
18. september 2021,15:00,0:4,Stevenage FC,Forest Green Rovers,2021-2022,8,{None: 'away'}
18. september 2021,15:00,1:1,Mansfield Town,Rochdale AFC,2021-2022,8,{None: 'home'}
18. september 2021,15:00,2:1,Newport County,Walsall FC,2021-2022,8,{None: 'home'}
18. september 2021,15:00,0:0,Oldham Athletic,Hartlepool United,2021-2022,8,
18. september 2021,15:00,2:0,Port Vale FC,Harrogate Town,2021-2022,8,{None: 'home'}
18. september 2021,15:00,2:0,Tranmere Rovers,Salford City,2021-2022,8,"{'13': 'home', None: 'home'}"
24. september 2021,19:45,2:1,Barrow AFC,Newport County,2021-2022,9,{None: 'home'}
25. september 2021,15:00,2:1,Crawley Town,Bradford City,2021-2022,9,{None: 'away'}
25. september 2021,15:00,1:2,Walsall FC,Bristol Rovers,2021-2022,9,{None: 'away'}
25. september 2021,15:00,0:0,Forest Green Rovers,Tranmere Rovers,2021-2022,9,
25. september 2021,15:00,0:0,Harrogate Town,Stevenage FC,2021-2022,9,
25. september 2021,15:00,1:1,Hartlepool United,Exeter City,2021-2022,9,{None: 'away'}
25. september 2021,15:00,0:0,Leyton Orient,Mansfield Town,2021-2022,9,
25. september 2021,15:00,0:1,Rochdale AFC,Oldham Athletic,2021-2022,9,{None: 'away'}
25. september 2021,15:00,2:2,Salford City,Northampton Town,2021-2022,9,{None: 'home'}
25. september 2021,15:00,0:1,Scunthorpe United,Port Vale FC,2021-2022,9,{None: 'away'}
25. september 2021,15:00,4:0,Sutton United,Carlisle United,2021-2022,9,"{'4': 'home', None: 'home'}"
25. september 2021,15:00,0:0,Swindon Town,Colchester United,2021-2022,9,
2. october 2021,15:00,2:0,Bradford City,Rochdale AFC,2021-2022,10,"{None: 'home', '75': 'home'}"
2. october 2021,15:00,1:3,Bristol Rovers,Swindon Town,2021-2022,10,"{None: 'away', '85': 'away'}"
2. october 2021,15:00,0:2,Carlisle United,Forest Green Rovers,2021-2022,10,{None: 'away'}
2. october 2021,15:00,0:2,Colchester United,Salford City,2021-2022,10,{None: 'away'}
2. october 2021,15:00,2:2,Exeter City,Walsall FC,2021-2022,10,"{None: 'away', '37': 'away'}"
2. october 2021,15:00,2:0,Stevenage FC,Hartlepool United,2021-2022,10,{None: 'home'}
2. october 2021,15:00,0:1,Mansfield Town,Barrow AFC,2021-2022,10,{'55': 'away'}
2. october 2021,15:00,3:0,Newport County,Scunthorpe United,2021-2022,10,{None: 'home'}
2. october 2021,15:00,0:2,Northampton Town,Sutton United,2021-2022,10,{None: 'away'}
2. october 2021,15:00,1:2,Oldham Athletic,Harrogate Town,2021-2022,10,{None: 'home'}
2. october 2021,15:00,3:2,Port Vale FC,Leyton Orient,2021-2022,10,"{None: 'home', '60': 'away'}"
2. october 2021,15:00,2:1,Tranmere Rovers,Crawley Town,2021-2022,10,{None: 'home'}
8. october 2021,19:45,2:0,Tranmere Rovers,Colchester United,2021-2022,11,{None: 'home'}
9. october 2021,12:00,0:2,Forest Green Rovers,Swindon Town,2021-2022,11,{None: 'away'}
9. october 2021,15:00,1:1,Barrow AFC,Leyton Orient,2021-2022,11,{None: 'away'}
9. october 2021,15:00,3:0,Bristol Rovers,Carlisle United,2021-2022,11,{None: 'home'}
9. october 2021,15:00,2:2,Stevenage FC,Exeter City,2021-2022,11,{None: 'home'}
9. october 2021,15:00,2:1,Walsall FC,Salford City,2021-2022,11,{None: 'home'}
9. october 2021,15:00,6:1,Harrogate Town,Scunthorpe United,2021-2022,11,"{None: 'away', '83': 'home'}"
9. october 2021,15:00,2:1,Hartlepool United,Northampton Town,2021-2022,11,{None: 'home'}
9. october 2021,15:00,0:0,Mansfield Town,Oldham Athletic,2021-2022,11,
9. october 2021,15:00,0:0,Newport County,Bradford City,2021-2022,11,
9. october 2021,15:00,0:1,Rochdale AFC,Crawley Town,2021-2022,11,{None: 'away'}
9. october 2021,15:00,4:3,Sutton United,Port Vale FC,2021-2022,11,"{None: 'home', '69': 'home'}"
16. october 2021,15:00,2:2,Bradford City,Bristol Rovers,2021-2022,12,{None: 'away'}
16. october 2021,15:00,0:1,Carlisle United,Tranmere Rovers,2021-2022,12,{'48': 'away'}
16. october 2021,15:00,1:0,Colchester United,Harrogate Town,2021-2022,12,{None: 'home'}
16. october 2021,15:00,0:1,Crawley Town,Sutton United,2021-2022,12,{None: 'away'}
16. october 2021,15:00,2:2,Exeter City,Newport County,2021-2022,12,{None: 'home'}
16. october 2021,15:00,0:0,Leyton Orient,Walsall FC,2021-2022,12,
16. october 2021,15:00,2:0,Northampton Town,Mansfield Town,2021-2022,12,{None: 'home'}
16. october 2021,15:00,3:0,Oldham Athletic,Stevenage FC,2021-2022,12,{None: 'home'}
16. october 2021,15:00,3:1,Port Vale FC,Barrow AFC,2021-2022,12,"{None: 'home', '56': 'home'}"
16. october 2021,15:00,2:0,Salford City,Hartlepool United,2021-2022,12,{None: 'home'}
16. october 2021,15:00,0:2,Scunthorpe United,Forest Green Rovers,2021-2022,12,"{'60': 'away', None: 'away'}"
16. october 2021,15:00,2:2,Swindon Town,Rochdale AFC,2021-2022,12,{None: 'home'}
19. october 2021,19:45,1:1,Barrow AFC,Scunthorpe United,2021-2022,13,{None: 'home'}
19. october 2021,19:45,1:3,Bradford City,Hartlepool United,2021-2022,13,"{None: 'home', '90': 'away'}"
19. october 2021,19:45,1:1,Colchester United,Bristol Rovers,2021-2022,13,{None: 'home'}
19. october 2021,19:45,1:3,Crawley Town,Exeter City,2021-2022,13,{None: 'away'}
19. october 2021,19:45,2:2,Harrogate Town,Tranmere Rovers,2021-2022,13,"{'32': 'away', '39': 'home', None: 'away'}"
19. october 2021,19:45,1:1,Leyton Orient,Forest Green Rovers,2021-2022,13,{None: 'home'}
19. october 2021,19:45,1:1,Mansfield Town,Port Vale FC,2021-2022,13,{None: 'home'}
19. october 2021,19:45,2:2,Newport County,Carlisle United,2021-2022,13,"{None: 'home', '67': 'away'}"
19. october 2021,19:45,3:0,Northampton Town,Stevenage FC,2021-2022,13,{None: 'home'}
19. october 2021,19:45,1:3,Oldham Athletic,Walsall FC,2021-2022,13,{None: 'away'}
19. october 2021,19:45,0:0,Salford City,Rochdale AFC,2021-2022,13,
19. october 2021,19:45,1:2,Sutton United,Swindon Town,2021-2022,13,"{None: 'away', '39': 'home'}"
23. october 2021,15:00,1:3,Bristol Rovers,Newport County,2021-2022,14,{None: 'away'}
23. october 2021,15:00,0:0,Carlisle United,Oldham Athletic,2021-2022,14,
23. october 2021,15:00,2:1,Exeter City,Mansfield Town,2021-2022,14,{None: 'home'}
23. october 2021,15:00,0:0,Stevenage FC,Leyton Orient,2021-2022,14,
23. october 2021,15:00,2:2,Walsall FC,Barrow AFC,2021-2022,14,{None: 'away'}
23. october 2021,15:00,3:1,Forest Green Rovers,Salford City,2021-2022,14,{None: 'home'}
23. october 2021,15:00,3:2,Hartlepool United,Harrogate Town,2021-2022,14,"{None: 'home', '35': 'away'}"
23. october 2021,15:00,3:0,Port Vale FC,Colchester United,2021-2022,14,{None: 'home'}
23. october 2021,15:00,3:2,Rochdale AFC,Sutton United,2021-2022,14,{None: 'home'}
23. october 2021,15:00,2:1,Scunthorpe United,Crawley Town,2021-2022,14,"{'32': 'home', None: 'away'}"
23. october 2021,15:00,1:3,Swindon Town,Bradford City,2021-2022,14,"{None: 'away', '78': 'home'}"
23. october 2021,15:00,0:2,Tranmere Rovers,Northampton Town,2021-2022,14,"{None: 'away', '68': 'away'}"
30. october 2021,14:00,3:0,Northampton Town,Carlisle United,2021-2022,15,"{None: 'home', '67': 'home'}"
30. october 2021,15:00,1:2,Barrow AFC,Rochdale AFC,2021-2022,15,{None: 'away'}
30. october 2021,15:00,1:1,Bradford City,Forest Green Rovers,2021-2022,15,{None: 'away'}
30. october 2021,15:00,2:1,Colchester United,Scunthorpe United,2021-2022,15,{None: 'away'}
30. october 2021,15:00,1:4,Crawley Town,Port Vale FC,2021-2022,15,"{None: 'away', '80': 'away'}"
30. october 2021,15:00,0:1,Harrogate Town,Bristol Rovers,2021-2022,15,{None: 'away'}
30. october 2021,15:00,5:0,Leyton Orient,Hartlepool United,2021-2022,15,{None: 'home'}
30. october 2021,15:00,2:0,Mansfield Town,Tranmere Rovers,2021-2022,15,{None: 'home'}
30. october 2021,15:00,5:0,Newport County,Stevenage FC,2021-2022,15,{None: 'home'}
30. october 2021,15:00,1:3,Oldham Athletic,Swindon Town,2021-2022,15,{None: 'away'}
30. october 2021,15:00,1:2,Salford City,Exeter City,2021-2022,15,"{None: 'home', '90': 'away'}"
30. october 2021,15:00,0:1,Sutton United,Walsall FC,2021-2022,15,{None: 'away'}
12. november 2021,19:45,1:2,Hartlepool United,Newport County,2021-2022,16,{None: 'away'}
13. november 2021,12:00,1:1,Port Vale FC,Bradford City,2021-2022,16,{None: 'away'}
13. november 2021,13:00,0:0,Carlisle United,Barrow AFC,2021-2022,16,
13. november 2021,15:00,2:1,Bristol Rovers,Northampton Town,2021-2022,16,"{'39': 'away', None: 'home'}"
13. november 2021,15:00,2:1,Exeter City,Oldham Athletic,2021-2022,16,{None: 'away'}
13. november 2021,15:00,1:2,Stevenage FC,Mansfield Town,2021-2022,16,{None: 'away'}
13. november 2021,15:00,1:3,Walsall FC,Harrogate Town,2021-2022,16,{None: 'home'}
13. november 2021,15:00,2:2,Rochdale AFC,Leyton Orient,2021-2022,16,{None: 'home'}
13. november 2021,15:00,1:1,Scunthorpe United,Salford City,2021-2022,16,{None: 'away'}
13. november 2021,15:00,0:1,Tranmere Rovers,Sutton United,2021-2022,16,{None: 'away'}
11. january 2022,19:45,2:0,Forest Green Rovers,Colchester United,2021-2022,16,{None: 'home'}
1. february 2022,19:45,1:1,Swindon Town,Crawley Town,2021-2022,16,"{'41': 'away', None: 'home'}"
20. november 2021,15:00,0:1,Barrow AFC,Crawley Town,2021-2022,17,{None: 'away'}
20. november 2021,15:00,1:1,Bradford City,Northampton Town,2021-2022,17,{None: 'home'}
20. november 2021,15:00,2:2,Bristol Rovers,Tranmere Rovers,2021-2022,17,{None: 'away'}
20. november 2021,15:00,2:1,Exeter City,Carlisle United,2021-2022,17,{None: 'away'}
20. november 2021,15:00,1:0,Stevenage FC,Colchester United,2021-2022,17,{'45': 'home'}
20. november 2021,15:00,0:0,Walsall FC,Rochdale AFC,2021-2022,17,
20. november 2021,15:00,0:2,Harrogate Town,Salford City,2021-2022,17,{None: 'away'}
20. november 2021,15:00,1:3,Hartlepool United,Forest Green Rovers,2021-2022,17,"{None: 'away', '80': 'home'}"
20. november 2021,15:00,4:1,Leyton Orient,Sutton United,2021-2022,17,{None: 'home'}
20. november 2021,15:00,3:1,Mansfield Town,Scunthorpe United,2021-2022,17,"{'15': 'away', None: 'home'}"
20. november 2021,15:00,1:2,Newport County,Swindon Town,2021-2022,17,"{'72': 'away', None: 'away'}"
20. november 2021,15:00,3:2,Oldham Athletic,Port Vale FC,2021-2022,17,"{None: 'home', '90': 'home'}"
23. november 2021,19:45,0:2,Carlisle United,Harrogate Town,2021-2022,18,{None: 'away'}
23. november 2021,19:45,3:1,Colchester United,Exeter City,2021-2022,18,{None: 'home'}
23. november 2021,19:45,1:1,Crawley Town,Newport County,2021-2022,18,{None: 'away'}
23. november 2021,19:45,2:0,Forest Green Rovers,Barrow AFC,2021-2022,18,{None: 'home'}
23. november 2021,19:45,2:1,Northampton Town,Oldham Athletic,2021-2022,18,{None: 'away'}
23. november 2021,19:45,0:1,Port Vale FC,Walsall FC,2021-2022,18,{None: 'away'}
23. november 2021,19:45,2:2,Rochdale AFC,Stevenage FC,2021-2022,18,{None: 'away'}
23. november 2021,19:45,1:1,Salford City,Bristol Rovers,2021-2022,18,{None: 'home'}
23. november 2021,19:45,1:1,Scunthorpe United,Leyton Orient,2021-2022,18,{None: 'home'}
23. november 2021,19:45,2:0,Sutton United,Mansfield Town,2021-2022,18,{None: 'home'}
23. november 2021,19:45,3:1,Swindon Town,Hartlepool United,2021-2022,18,{None: 'home'}
23. november 2021,19:45,2:1,Tranmere Rovers,Bradford City,2021-2022,18,{None: 'home'}
26. november 2021,19:45,1:1,Colchester United,Newport County,2021-2022,19,{None: 'home'}
27. november 2021,15:00,1:0,Carlisle United,Walsall FC,2021-2022,19,{None: 'home'}
27. november 2021,15:00,1:2,Crawley Town,Mansfield Town,2021-2022,19,{None: 'away'}
27. november 2021,15:00,2:0,Forest Green Rovers,Bristol Rovers,2021-2022,19,"{None: 'home', '77': 'home'}"
27. november 2021,15:00,1:0,Northampton Town,Leyton Orient,2021-2022,19,{None: 'home'}
27. november 2021,15:00,2:0,Port Vale FC,Hartlepool United,2021-2022,19,{None: 'home'}
27. november 2021,15:00,1:1,Rochdale AFC,Exeter City,2021-2022,19,{None: 'home'}
27. november 2021,15:00,2:0,Salford City,Oldham Athletic,2021-2022,19,{None: 'home'}
27. november 2021,15:00,1:1,Scunthorpe United,Bradford City,2021-2022,19,{None: 'away'}
27. november 2021,15:00,1:0,Sutton United,Barrow AFC,2021-2022,19,{None: 'home'}
27. november 2021,15:00,1:1,Swindon Town,Harrogate Town,2021-2022,19,"{None: 'away', '83': 'home'}"
1. february 2022,19:45,1:0,Tranmere Rovers,Stevenage FC,2021-2022,19,{None: 'home'}
7. december 2021,19:45,1:2,Bristol Rovers,Port Vale FC,2021-2022,20,{None: 'home'}
7. december 2021,19:45,1:2,Exeter City,Northampton Town,2021-2022,20,{None: 'away'}
7. december 2021,19:45,1:1,Stevenage FC,Scunthorpe United,2021-2022,20,{None: 'away'}
7. december 2021,19:45,1:1,Walsall FC,Crawley Town,2021-2022,20,{None: 'away'}
7. december 2021,19:45,1:4,Harrogate Town,Forest Green Rovers,2021-2022,20,{None: 'away'}
7. december 2021,19:45,4:1,Leyton Orient,Swindon Town,2021-2022,20,{None: 'home'}
7. december 2021,19:45,1:0,Mansfield Town,Carlisle United,2021-2022,20,{None: 'home'}
7. december 2021,19:45,3:2,Newport County,Sutton United,2021-2022,20,"{None: 'home', '90': 'home'}"
7. december 2021,19:45,0:1,Oldham Athletic,Tranmere Rovers,2021-2022,20,{None: 'away'}
8. december 2021,19:45,0:0,Bradford City,Colchester United,2021-2022,20,
8. december 2021,19:45,2:1,Hartlepool United,Rochdale AFC,2021-2022,20,{None: 'home'}
25. january 2022,19:45,0:2,Barrow AFC,Salford City,2021-2022,20,"{None: 'away', '90': 'away'}"
11. december 2021,15:00,2:0,Barrow AFC,Swindon Town,2021-2022,21,"{'62': 'home', '87': 'home'}"
11. december 2021,15:00,2:2,Bradford City,Sutton United,2021-2022,21,"{'32': 'away', None: 'home'}"
11. december 2021,15:00,4:2,Bristol Rovers,Rochdale AFC,2021-2022,21,"{None: 'home', '66': 'away'}"
11. december 2021,15:00,0:1,Exeter City,Tranmere Rovers,2021-2022,21,{None: 'away'}
11. december 2021,15:00,0:2,Stevenage FC,Carlisle United,2021-2022,21,"{None: 'away', '65': 'away'}"
11. december 2021,15:00,3:0,Walsall FC,Colchester United,2021-2022,21,{None: 'home'}
11. december 2021,15:00,1:2,Harrogate Town,Northampton Town,2021-2022,21,{None: 'away'}
11. december 2021,15:00,0:0,Hartlepool United,Scunthorpe United,2021-2022,21,
11. december 2021,15:00,1:2,Leyton Orient,Crawley Town,2021-2022,21,"{None: 'away', '62': 'home'}"
11. december 2021,15:00,2:1,Mansfield Town,Salford City,2021-2022,21,{None: 'home'}
11. december 2021,15:00,2:1,Newport County,Port Vale FC,2021-2022,21,{None: 'home'}
11. december 2021,15:00,5:5,Oldham Athletic,Forest Green Rovers,2021-2022,21,"{None: 'home', '78': 'home'}"
18. december 2021,15:00,3:0,Rochdale AFC,Newport County,2021-2022,22,"{None: 'home', '72': 'home'}"
18. december 2021,15:00,1:0,Salford City,Stevenage FC,2021-2022,22,{None: 'home'}
18. december 2021,15:00,1:0,Sutton United,Harrogate Town,2021-2022,22,{None: 'home'}
18. december 2021,15:00,1:0,Tranmere Rovers,Leyton Orient,2021-2022,22,{None: 'home'}
8. january 2022,15:00,2:0,Carlisle United,Bradford City,2021-2022,22,{None: 'home'}
25. january 2022,19:45,2:3,Scunthorpe United,Bristol Rovers,2021-2022,22,"{None: 'home', '62': 'away'}"
1. february 2022,19:45,0:1,Northampton Town,Barrow AFC,2021-2022,22,{None: 'away'}
22. february 2022,19:45,1:2,Colchester United,Hartlepool United,2021-2022,22,{None: 'away'}
22. february 2022,19:45,5:0,Swindon Town,Walsall FC,2021-2022,22,{None: 'home'}
1. march 2022,19:45,2:2,Crawley Town,Oldham Athletic,2021-2022,22,{None: 'away'}
22. march 2022,19:45,0:0,Port Vale FC,Exeter City,2021-2022,22,
5. april 2022,19:45,1:0,Forest Green Rovers,Mansfield Town,2021-2022,22,{None: 'home'}
26. december 2021,15:00,3:2,Mansfield Town,Hartlepool United,2021-2022,23,{None: 'home'}
26. december 2021,15:00,1:3,Oldham Athletic,Scunthorpe United,2021-2022,23,{None: 'away'}
26. december 2021,15:00,2:0,Tranmere Rovers,Barrow AFC,2021-2022,23,{None: 'home'}
18. january 2022,19:45,2:1,Stevenage FC,Crawley Town,2021-2022,23,{None: 'home'}
18. january 2022,19:45,0:1,Port Vale FC,Salford City,2021-2022,23,{None: 'away'}
15. february 2022,19:45,2:0,Bristol Rovers,Sutton United,2021-2022,23,{None: 'home'}
22. february 2022,19:45,1:3,Bradford City,Harrogate Town,2021-2022,23,{None: 'away'}
1. march 2022,19:45,2:0,Carlisle United,Rochdale AFC,2021-2022,23,{None: 'home'}
1. march 2022,19:45,2:2,Colchester United,Leyton Orient,2021-2022,23,{None: 'away'}
1. march 2022,19:45,1:1,Newport County,Forest Green Rovers,2021-2022,23,{None: 'away'}
1. march 2022,19:45,1:1,Northampton Town,Walsall FC,2021-2022,23,{None: 'away'}
8. march 2022,19:45,3:1,Exeter City,Swindon Town,2021-2022,23,{None: 'away'}
29. december 2021,19:45,0:0,Barrow AFC,Oldham Athletic,2021-2022,24,
29. december 2021,19:45,0:0,Swindon Town,Stevenage FC,2021-2022,24,
4. january 2022,19:45,0:0,Forest Green Rovers,Exeter City,2021-2022,24,
18. january 2022,19:45,3:2,Sutton United,Colchester United,2021-2022,24,"{None: 'home', '44': 'away'}"
25. january 2022,19:45,1:2,Walsall FC,Bradford City,2021-2022,24,"{None: 'home', '88': 'away'}"
25. january 2022,19:45,0:1,Leyton Orient,Newport County,2021-2022,24,{None: 'away'}
1. february 2022,19:45,0:0,Harrogate Town,Mansfield Town,2021-2022,24,
1. february 2022,19:45,2:1,Salford City,Carlisle United,2021-2022,24,"{'52': 'home', None: 'home'}"
15. february 2022,19:45,1:0,Hartlepool United,Tranmere Rovers,2021-2022,24,{'45': 'home'}
22. february 2022,19:45,1:1,Rochdale AFC,Port Vale FC,2021-2022,24,{None: 'home'}
22. february 2022,19:45,0:0,Scunthorpe United,Northampton Town,2021-2022,24,
8. march 2022,19:45,1:2,Crawley Town,Bristol Rovers,2021-2022,24,{None: 'home'}
1. january 2022,15:00,1:2,Barrow AFC,Bradford City,2021-2022,25,{None: 'home'}
