match_date,match_time,final_score,home_team,away_team,season,round,goals
7. august 2021,15:00,0:0,Carlisle United,Colchester United,2021-2022,1,
7. august 2021,15:00,0:0,Exeter City,Bradford City,2021-2022,1,
7. august 2021,15:00,1:0,Stevenage FC,Barrow AFC,2021-2022,1,{None: 'home'}
7. august 2021,15:00,2:1,Forest Green Rovers,Sutton United,2021-2022,1,{None: 'home'}
7. august 2021,15:00,3:2,Harrogate Town,Rochdale AFC,2021-2022,1,{None: 'home'}
7. august 2021,15:00,1:0,Hartlepool United,Crawley Town,2021-2022,1,{None: 'home'}
7. august 2021,15:00,2:1,Mansfield Town,Bristol Rovers,2021-2022,1,"{None: 'away', '90': 'home'}"
7. august 2021,15:00,1:0,Northampton Town,Port Vale FC,2021-2022,1,{None: 'home'}
7. august 2021,15:00,0:1,Oldham Athletic,Newport County,2021-2022,1,{None: 'away'}
7. august 2021,15:00,1:1,Salford City,Leyton Orient,2021-2022,1,{None: 'home'}
7. august 2021,15:00,1:3,Scunthorpe United,Swindon Town,2021-2022,1,"{'48': 'home', '57': 'away', None: 'away'}"
7. august 2021,15:00,1:0,Tranmere Rovers,Walsall FC,2021-2022,1,{None: 'home'}
14. august 2021,15:00,3:2,Barrow AFC,Hartlepool United,2021-2022,2,{None: 'home'}
14. august 2021,15:00,2:1,Bradford City,Oldham Athletic,2021-2022,2,"{None: 'away', '90': 'home'}"
14. august 2021,15:00,0:2,Bristol Rovers,Stevenage FC,2021-2022,2,{None: 'away'}
14. august 2021,15:00,0:1,Colchester United,Northampton Town,2021-2022,2,{None: 'away'}
14. august 2021,15:00,1:3,Walsall FC,Forest Green Rovers,2021-2022,2,"{None: 'home', '45': 'away'}"
14. august 2021,15:00,3:0,Leyton Orient,Exeter City,2021-2022,2,{None: 'home'}
14. august 2021,15:00,0:0,Port Vale FC,Tranmere Rovers,2021-2022,2,
14. august 2021,15:00,0:0,Rochdale AFC,Scunthorpe United,2021-2022,2,
14. august 2021,15:00,0:0,Salford City,Sutton United,2021-2022,2,
14. august 2021,15:00,1:2,Swindon Town,Carlisle United,2021-2022,2,{None: 'away'}
14. august 2021,15:00,2:1,Mansfield Town,Newport County,2021-2022,2,{None: 'home'}
21. september 2021,19:45,2:2,Crawley Town,Harrogate Town,2021-2022,2,"{None: 'home', '52': 'away'}"
17. august 2021,19:45,0:0,Barrow AFC,Exeter City,2021-2022,3,
17. august 2021,19:45,4:1,Bradford City,Stevenage FC,2021-2022,3,{None: 'home'}
17. august 2021,19:45,1:0,Bristol Rovers,Oldham Athletic,2021-2022,3,{None: 'home'}
17. august 2021,19:45,1:1,Colchester United,Mansfield Town,2021-2022,3,"{None: 'away', '90': 'home'}"
17. august 2021,19:45,2:1,Crawley Town,Salford City,2021-2022,3,{None: 'home'}
17. august 2021,19:45,1:1,Walsall FC,Scunthorpe United,2021-2022,3,{None: 'away'}
17. august 2021,19:45,0:0,Port Vale FC,Carlisle United,2021-2022,3,
17. august 2021,19:45,1:2,Rochdale AFC,Forest Green Rovers,2021-2022,3,{None: 'away'}
17. august 2021,19:45,0:0,Swindon Town,Tranmere Rovers,2021-2022,3,
24. august 2021,19:45,0:2,Leyton Orient,Harrogate Town,2021-2022,3,{None: 'away'}
14. september 2021,19:45,0:1,Newport County,Northampton Town,2021-2022,3,{None: 'away'}
14. september 2021,19:45,1:0,Sutton United,Hartlepool United,2021-2022,3,{None: 'home'}
21. august 2021,15:00,1:1,Carlisle United,Leyton Orient,2021-2022,4,"{'8': 'home', None: 'away'}"
21. august 2021,15:00,4:1,Exeter City,Bristol Rovers,2021-2022,4,{None: 'away'}
21. august 2021,15:00,1:1,Stevenage FC,Port Vale FC,2021-2022,4,{None: 'home'}
21. august 2021,15:00,6:3,Forest Green Rovers,Crawley Town,2021-2022,4,{None: 'away'}
21. august 2021,15:00,2:1,Harrogate Town,Barrow AFC,2021-2022,4,{None: 'home'}
21. august 2021,15:00,2:0,Hartlepool United,Walsall FC,2021-2022,4,"{None: 'home', '57': 'home'}"
21. august 2021,15:00,2:3,Mansfield Town,Bradford City,2021-2022,4,{None: 'away'}
21. august 2021,15:00,1:3,Northampton Town,Rochdale AFC,2021-2022,4,{None: 'away'}
21. august 2021,15:00,1:2,Oldham Athletic,Colchester United,2021-2022,4,"{'9': 'away', None: 'home'}"
21. august 2021,15:00,0:1,Salford City,Swindon Town,2021-2022,4,{None: 'away'}
21. august 2021,15:00,1:1,Scunthorpe United,Sutton United,2021-2022,4,{None: 'away'}
21. august 2021,15:00,0:1,Tranmere Rovers,Newport County,2021-2022,4,{None: 'away'}
27. august 2021,19:45,1:1,Rochdale AFC,Colchester United,2021-2022,5,"{'40': 'away', None: 'home'}"
28. august 2021,15:00,1:1,Barrow AFC,Bristol Rovers,2021-2022,5,{None: 'home'}
28. august 2021,15:00,0:0,Crawley Town,Northampton Town,2021-2022,5,
28. august 2021,15:00,1:0,Walsall FC,Stevenage FC,2021-2022,5,{None: 'home'}
28. august 2021,15:00,0:2,Forest Green Rovers,Port Vale FC,2021-2022,5,{None: 'away'}
28. august 2021,15:00,1:1,Harrogate Town,Exeter City,2021-2022,5,"{'43': 'home', None: 'away'}"
28. august 2021,15:00,2:1,Hartlepool United,Carlisle United,2021-2022,5,{None: 'home'}
28. august 2021,15:00,2:0,Leyton Orient,Bradford City,2021-2022,5,{None: 'home'}
28. august 2021,15:00,3:0,Salford City,Newport County,2021-2022,5,{None: 'home'}
28. august 2021,15:00,1:0,Scunthorpe United,Tranmere Rovers,2021-2022,5,{'4': 'home'}
28. august 2021,15:00,1:2,Sutton United,Oldham Athletic,2021-2022,5,{None: 'away'}
28. august 2021,15:00,1:0,Swindon Town,Mansfield Town,2021-2022,5,{None: 'home'}
4. september 2021,15:00,1:1,Bradford City,Walsall FC,2021-2022,6,{None: 'away'}
4. september 2021,15:00,1:0,Bristol Rovers,Crawley Town,2021-2022,6,{None: 'home'}
4. september 2021,15:00,2:1,Carlisle United,Salford City,2021-2022,6,{None: 'home'}
4. september 2021,15:00,0:0,Exeter City,Forest Green Rovers,2021-2022,6,
4. september 2021,15:00,1:1,Stevenage FC,Swindon Town,2021-2022,6,"{None: 'home', '90': 'away'}"
4. september 2021,15:00,1:3,Mansfield Town,Harrogate Town,2021-2022,6,{None: 'away'}
4. september 2021,15:00,2:2,Newport County,Leyton Orient,2021-2022,6,"{None: 'home', '45': 'home'}"
4. september 2021,15:00,2:0,Northampton Town,Scunthorpe United,2021-2022,6,{None: 'home'}
4. september 2021,15:00,0:3,Oldham Athletic,Barrow AFC,2021-2022,6,{None: 'away'}
