match_date,match_time,final_score,home_team,away_team,goals,season,round
3. august 2019,15:00,1:2,AFC Wimbledon,Rotherham United,"{'29': 'away', '50': 'home', '84': 'away'}",2019-2020,1
3. august 2019,15:00,2:0,Blackpool FC,Bristol Rovers,"{'28': 'home', '46': 'home'}",2019-2020,1
3. august 2019,15:00,0:1,Burton Albion,Ipswich Town,{'11': 'away'},2019-2020,1
3. august 2019,15:00,1:0,Coventry City,Southend United,{'51': 'home'},2019-2020,1
3. august 2019,15:00,1:1,Doncaster Rovers,Gillingham FC,"{'30': 'away', '45': 'home'}",2019-2020,1
3. august 2019,15:00,2:0,Lincoln City,Accrington Stanley,"{'35': 'home', '81': 'home'}",2019-2020,1
3. august 2019,15:00,1:3,Peterborough United,Fleetwood Town,"{'4': 'away', '13': 'away', '67': 'home', '81': 'away'}",2019-2020,1
3. august 2019,15:00,1:0,Shrewsbury Town,Portsmouth FC,{'68': 'home'},2019-2020,1
3. august 2019,15:00,1:1,Sunderland AFC,Oxford United,"{'14': 'away', '49': 'home'}",2019-2020,1
3. august 2019,15:00,2:3,Tranmere Rovers,Rochdale AFC,"{'12': 'away', '48': 'away', '69': 'away', '89': 'home', '90': 'home'}",2019-2020,1
3. august 2019,15:00,2:0,Wycombe Wanderers,Bolton Wanderers,"{'56': 'home', '81': 'home'}",2019-2020,1
10. august 2019,15:00,0:0,Bolton Wanderers,Coventry City,,2019-2020,2
10. august 2019,15:00,0:0,Bristol Rovers,Wycombe Wanderers,,2019-2020,2
10. august 2019,15:00,2:1,Fleetwood Town,AFC Wimbledon,"{'26': 'away', '56': 'home', '65': 'home'}",2019-2020,2
10. august 2019,15:00,1:2,Gillingham FC,Burton Albion,"{'7': 'home', '42': 'away', '45': 'away'}",2019-2020,2
10. august 2019,15:00,1:1,Ipswich Town,Sunderland AFC,"{'15': 'home', '64': 'away'}",2019-2020,2
10. august 2019,15:00,1:0,Milton Keynes Dons,Shrewsbury Town,{'90': 'home'},2019-2020,2
10. august 2019,15:00,1:0,Oxford United,Peterborough United,{'12': 'home'},2019-2020,2
10. august 2019,15:00,2:0,Portsmouth FC,Tranmere Rovers,"{'27': 'home', '75': 'home'}",2019-2020,2
10. august 2019,15:00,1:1,Rochdale AFC,Doncaster Rovers,"{'66': 'home', '90': 'away'}",2019-2020,2
10. august 2019,15:00,0:2,Rotherham United,Lincoln City,"{'42': 'away', '48': 'away'}",2019-2020,2
10. august 2019,15:00,1:3,Southend United,Blackpool FC,"{'9': 'away', '12': 'away', '37': 'away', '75': 'home'}",2019-2020,2
17. august 2019,12:30,2:1,Sunderland AFC,Portsmouth FC,"{'22': 'away', '27': 'home', '39': 'home'}",2019-2020,3
17. august 2019,15:00,1:1,AFC Wimbledon,Accrington Stanley,"{'42': 'home', '64': 'away'}",2019-2020,3
17. august 2019,15:00,2:1,Blackpool FC,Oxford United,"{'5': 'home', '45': 'away'}",2019-2020,3
17. august 2019,15:00,0:1,Burton Albion,Rotherham United,{'24': 'away'},2019-2020,3
17. august 2019,15:00,2:0,Coventry City,Bristol Rovers,"{'45': 'home', '82': 'home'}",2019-2020,3
17. august 2019,15:00,3:2,Doncaster Rovers,Fleetwood Town,"{'10': 'away', '19': 'home', '39': 'home', '56': 'away', '90': 'home'}",2019-2020,3
17. august 2019,15:00,4:0,Lincoln City,Southend United,"{'31': 'home', '40': 'home', '48': 'home', '81': 'home'}",2019-2020,3
17. august 2019,15:00,2:2,Peterborough United,Ipswich Town,"{'4': 'away', '29': 'home', '62': 'home', '90': 'away'}",2019-2020,3
17. august 2019,15:00,0:0,Shrewsbury Town,Rochdale AFC,,2019-2020,3
17. august 2019,15:00,5:0,Tranmere Rovers,Bolton Wanderers,"{'38': 'home', '40': 'home', '46': 'home', '63': 'home', None: 'home'}",2019-2020,3
17. august 2019,15:00,3:2,Wycombe Wanderers,Milton Keynes Dons,"{'12': 'home', '32': 'away', '37': 'home', '51': 'away', '90': 'home'}",2019-2020,3
20. august 2019,19:45,2:3,Accrington Stanley,Shrewsbury Town,"{'67': 'home', '72': 'home', '77': 'away', '85': 'away', '89': 'away'}",2019-2020,4
20. august 2019,19:45,2:0,Bristol Rovers,Tranmere Rovers,"{'38': 'home', '88': 'home'}",2019-2020,4
20. august 2019,19:45,1:1,Fleetwood Town,Wycombe Wanderers,"{'57': 'away', '90': 'home'}",2019-2020,4
