match_date,match_time,final_score,home_team,away_team,goals,season,round
29. december 2023,19:45,0:3,Salford City,Grimsby Town,{None: 'away'},2023-2024,25
29. december 2023,19:45,2:1,Swindon Town,Forest Green Rovers,{None: 'home'},2023-2024,25
29. december 2023,19:45,5:3,AFC Wimbledon,Colchester United,"{None: 'home', '90': 'away'}",2023-2024,25
1. january 2024,15:00,3:0,Accrington Stanley,Salford City,"{None: 'home', '33': 'home'}",2023-2024,26
1. january 2024,15:00,0:1,Colchester United,Gillingham FC,{None: 'away'},2023-2024,26
1. january 2024,15:00,3:1,Crawley Town,Swindon Town,"{None: 'home', '90': 'away'}",2023-2024,26
1. january 2024,15:00,1:0,Crewe Alexandra,Bradford City,{'13': 'home'},2023-2024,26
1. january 2024,15:00,3:0,Doncaster Rovers,Milton Keynes Dons,{None: 'home'},2023-2024,26
1. january 2024,15:00,2:2,Morecambe FC,Harrogate Town,"{None: 'away', '90': 'home'}",2023-2024,26
1. january 2024,15:00,1:1,Forest Green Rovers,AFC Wimbledon,{None: 'away'},2023-2024,26
1. january 2024,15:00,1:6,Grimsby Town,Walsall FC,"{None: 'away', '55': 'away', '90': 'away'}",2023-2024,26
1. january 2024,15:00,0:2,Stockport County,Mansfield Town,"{None: 'away', '90': 'away'}",2023-2024,26
1. january 2024,15:00,1:1,Sutton United,Newport County,{None: 'home'},2023-2024,26
1. january 2024,15:00,4:2,Tranmere Rovers,Notts County,"{None: 'home', '90': 'home'}",2023-2024,26
1. january 2024,15:00,4:1,Wrexham AFC,Barrow AFC,"{None: 'home', '45': 'home'}",2023-2024,26
6. january 2024,13:00,3:1,Harrogate Town,Doncaster Rovers,{None: 'home'},2023-2024,27
6. january 2024,15:00,1:0,Barrow AFC,Tranmere Rovers,{None: 'home'},2023-2024,27
6. january 2024,15:00,2:4,Bradford City,Crawley Town,"{None: 'away', '79': 'home', '90': 'away'}",2023-2024,27
6. january 2024,15:00,0:1,Mansfield Town,Crewe Alexandra,{None: 'away'},2023-2024,27
6. january 2024,15:00,,Milton Keynes Dons,Wrexham AFC,{},2023-2024,27
6. january 2024,15:00,,Milton Keynes Dons,Wrexham AFC,{},2023-2024,27
6. january 2024,15:00,,Newport County,Accrington Stanley,{},2023-2024,27
6. january 2024,15:00,,Newport County,Accrington Stanley,{},2023-2024,27
