match_date,match_time,final_score,home_team,away_team,goals,season,round
6. august 2021,19:45,2:2,AFC Bournemouth,West Bromwich Albion,"{'12': 'home', '33': 'away', '52': 'home', '67': 'away'}",2021-2022,1
7. august 2021,15:00,2:1,Blackburn Rovers,Swansea City,"{'36': 'home', '48': 'home', '52': 'away'}",2021-2022,1
7. august 2021,15:00,1:1,Bristol City,Blackpool FC,"{'44': 'home', '90': 'away'}",2021-2022,1
7. august 2021,15:00,1:1,Cardiff City,Barnsley FC,"{'54': 'home', '69': 'away'}",2021-2022,1
7. august 2021,15:00,1:1,Derby County,Huddersfield Town,"{'39': 'home', '45': 'away'}",2021-2022,1
7. august 2021,15:00,3:0,Luton Town,Peterborough United,"{'30': 'home', '68': 'home', '71': 'home'}",2021-2022,1
7. august 2021,15:00,1:4,Preston North End,Hull City,"{'8': 'home', '35': 'away', '62': 'away', '85': 'away', '90': 'away'}",2021-2022,1
7. august 2021,15:00,1:1,Queens Park Rangers,Millwall FC,"{'11': 'away', '31': 'home'}",2021-2022,1
7. august 2021,15:00,3:2,Stoke City,Reading FC,"{'25': 'home', '26': 'away', '28': 'home', '60': 'away', '85': 'home'}",2021-2022,1
7. august 2021,20:00,0:1,Sheffield United,Birmingham City,{'19': 'away'},2021-2022,1
8. august 2021,13:30,1:1,Fulham FC,Middlesbrough FC,"{'29': 'home', '77': 'away'}",2021-2022,1
8. august 2021,16:30,2:1,Coventry City,Nottingham Forest,"{'36': 'away', '81': 'home', '90': 'home'}",2021-2022,1
14. august 2021,12:30,2:1,Peterborough United,Derby County,"{'77': 'away', '90': 'home'}",2021-2022,2
14. august 2021,15:00,0:0,Birmingham City,Stoke City,,2021-2022,2
14. august 2021,15:00,0:2,Blackpool FC,Cardiff City,"{'52': 'away', '86': 'away'}",2021-2022,2
14. august 2021,15:00,1:0,Barnsley FC,Coventry City,{'39': 'home'},2021-2022,2
14. august 2021,15:00,2:1,Middlesbrough FC,Bristol City,"{'38': 'home', '60': 'away', '70': 'home'}",2021-2022,2
14. august 2021,15:00,1:1,Millwall FC,Blackburn Rovers,"{'64': 'home', '76': 'away'}",2021-2022,2
14. august 2021,15:00,2:1,Reading FC,Preston North End,"{'28': 'home', '61': 'away', '69': 'home'}",2021-2022,2
