match_date,match_time,final_score,home_team,away_team,goals,season,round
14. august 2021,15:00,1:5,Huddersfield Town,Fulham FC,"{'9': 'away', '37': 'away', '41': 'home', '43': 'away', '78': 'away', '90': 'away'}",2021-2022,2
14. august 2021,15:00,0:3,Hull City,Queens Park Rangers,"{'16': 'away', '68': 'away', '74': 'away'}",2021-2022,2
14. august 2021,15:00,1:2,Nottingham Forest,AFC Bournemouth,"{'28': 'away', '48': 'home', '58': 'away'}",2021-2022,2
14. august 2021,15:00,3:2,West Bromwich Albion,Luton Town,"{'5': 'home', '36': 'home', '66': 'home', '70': 'away', '90': 'away'}",2021-2022,2
14. august 2021,20:00,0:0,Swansea City,Sheffield United,,2021-2022,2
17. august 2021,19:45,0:1,Blackpool FC,Coventry City,{'45': 'away'},2021-2022,3
17. august 2021,19:45,0:1,Barnsley FC,Luton Town,{'4': 'away'},2021-2022,3
17. august 2021,19:45,1:2,Millwall FC,Fulham FC,"{'3': 'away', '8': 'away', '87': 'home'}",2021-2022,3
17. august 2021,19:45,1:0,Huddersfield Town,Preston North End,{'74': 'home'},2021-2022,3
17. august 2021,19:45,2:2,Peterborough United,Cardiff City,"{'49': 'home', '51': 'home', '83': 'away', '90': 'away'}",2021-2022,3
17. august 2021,19:45,1:3,Swansea City,Stoke City,"{'15': 'away', '53': 'away', '60': 'away', '73': 'home'}",2021-2022,3
17. august 2021,20:00,2:3,Reading FC,Bristol City,"{'5': 'away', '14': 'away', '19': 'home', '52': 'away', '81': 'home'}",2021-2022,3
18. august 2021,19:45,0:2,Birmingham City,AFC Bournemouth,"{'77': 'away', '87': 'away'}",2021-2022,3
18. august 2021,19:45,2:3,Middlesbrough FC,Queens Park Rangers,"{'7': 'home', '48': 'away', '56': 'away', '72': 'home', '76': 'away'}",2021-2022,3
18. august 2021,19:45,0:1,Hull City,Derby County,{'57': 'away'},2021-2022,3
18. august 2021,19:45,1:2,Nottingham Forest,Blackburn Rovers,"{'47': 'away', '69': 'home', '86': 'away'}",2021-2022,3
18. august 2021,20:00,4:0,West Bromwich Albion,Sheffield United,"{'26': 'home', '47': 'home', '53': 'home', '59': 'home'}",2021-2022,3
20. august 2021,19:45,0:1,Bristol City,Swansea City,{'19': 'away'},2021-2022,4
21. august 2021,12:30,2:2,Queens Park Rangers,Barnsley FC,"{'14': 'away', '27': 'away', '76': 'home', '90': 'home'}",2021-2022,4
21. august 2021,15:00,2:2,AFC Bournemouth,Blackpool FC,"{'6': 'home', '19': 'home', '57': 'away', '60': 'away'}",2021-2022,4
21. august 2021,15:00,1:2,Blackburn Rovers,West Bromwich Albion,"{'1': 'away', '45': 'away', '51': 'home'}",2021-2022,4
21. august 2021,15:00,3:1,Cardiff City,Millwall FC,"{'66': 'home', '70': 'home', '76': 'away', '83': 'home'}",2021-2022,4
21. august 2021,15:00,2:1,Coventry City,Reading FC,"{'40': 'away', '62': 'home', '90': 'home'}",2021-2022,4
21. august 2021,15:00,0:0,Derby County,Middlesbrough FC,,2021-2022,4
21. august 2021,15:00,2:0,Fulham FC,Hull City,"{'22': 'home', '34': 'home'}",2021-2022,4
21. august 2021,15:00,0:5,Luton Town,Birmingham City,"{'7': 'away', '26': 'away', '47': 'away', '84': 'away', '88': 'away'}",2021-2022,4
21. august 2021,15:00,1:0,Preston North End,Peterborough United,{'14': 'home'},2021-2022,4
21. august 2021,15:00,1:2,Sheffield United,Huddersfield Town,"{'75': 'away', '90': 'away'}",2021-2022,4
21. august 2021,15:00,1:0,Stoke City,Nottingham Forest,{'66': 'home'},2021-2022,4
28. august 2021,12:30,1:2,Cardiff City,Bristol City,"{'21': 'away', '59': 'home', '70': 'away'}",2021-2022,5
28. august 2021,12:30,1:1,Derby County,Nottingham Forest,"{'11': 'home', '82': 'away'}",2021-2022,5
28. august 2021,15:00,1:1,Barnsley FC,Birmingham City,"{'6': 'home', '33': 'away'}",2021-2022,5
28. august 2021,15:00,3:0,Fulham FC,Stoke City,"{'5': 'home', '53': 'home', '72': 'home'}",2021-2022,5
28. august 2021,15:00,1:1,Middlesbrough FC,Blackburn Rovers,"{'17': 'away', '36': 'home'}",2021-2022,5
28. august 2021,15:00,2:1,Millwall FC,Blackpool FC,"{'56': 'away', '63': 'home', '90': 'home'}",2021-2022,5
28. august 2021,15:00,4:0,Huddersfield Town,Reading FC,"{'39': 'home', '51': 'home', '66': 'home', '68': 'home'}",2021-2022,5
28. august 2021,15:00,0:0,Hull City,AFC Bournemouth,,2021-2022,5
28. august 2021,15:00,0:0,Luton Town,Sheffield United,,2021-2022,5
28. august 2021,15:00,3:1,Preston North End,Swansea City,"{'19': 'away', '21': 'home', '45': 'home', '52': 'home'}",2021-2022,5
28. august 2021,15:00,2:0,Queens Park Rangers,Coventry City,"{'68': 'home', '76': 'home'}",2021-2022,5
28. august 2021,20:00,0:1,Peterborough United,West Bromwich Albion,{'90': 'away'},2021-2022,5
10. september 2021,20:00,2:0,Birmingham City,Derby County,"{'31': 'home', '81': 'home'}",2021-2022,6
11. september 2021,15:00,3:0,AFC Bournemouth,Barnsley FC,"{'8': 'home', '46': 'home', '82': 'home'}",2021-2022,6
11. september 2021,15:00,2:2,Blackburn Rovers,Luton Town,"{'27': 'home', '31': 'home', '73': 'away', '90': 'away'}",2021-2022,6
11. september 2021,15:00,1:0,Blackpool FC,Fulham FC,{'49': 'home'},2021-2022,6
11. september 2021,15:00,0:0,Bristol City,Preston North End,,2021-2022,6
11. september 2021,15:00,2:0,Coventry City,Middlesbrough FC,"{'71': 'home', '90': 'home'}",2021-2022,6
11. september 2021,15:00,3:3,Reading FC,Queens Park Rangers,"{'11': 'away', '35': 'home', '64': 'home', '77': 'home', '79': 'away', '90': 'away'}",2021-2022,6
11. september 2021,15:00,6:2,Sheffield United,Peterborough United,"{'14': 'home', '40': 'away', '51': 'home', '53': 'home', '68': 'home', '70': 'home', '79': 'away', '90': 'home'}",2021-2022,6
11. september 2021,15:00,2:1,Stoke City,Huddersfield Town,"{'47': 'away', '50': 'home', '63': 'home'}",2021-2022,6
11. september 2021,15:00,0:0,Swansea City,Hull City,,2021-2022,6
11. september 2021,15:00,1:1,West Bromwich Albion,Millwall FC,"{'49': 'home', '55': 'away'}",2021-2022,6
12. september 2021,14:30,1:2,Nottingham Forest,Cardiff City,"{'23': 'home', '58': 'away', '73': 'away'}",2021-2022,6
14. september 2021,19:45,2:1,AFC Bournemouth,Queens Park Rangers,"{'12': 'home', '37': 'home', '57': 'away'}",2021-2022,7
14. september 2021,19:45,2:0,Blackburn Rovers,Hull City,"{'61': 'home', '65': 'home'}",2021-2022,7
14. september 2021,19:45,0:3,Blackpool FC,Huddersfield Town,"{'48': 'away', '54': 'away', '62': 'away'}",2021-2022,7
14. september 2021,19:45,2:2,Sheffield United,Preston North End,"{'7': 'home', '19': 'away', '84': 'home', '90': 'away'}",2021-2022,7
14. september 2021,20:00,3:1,Reading FC,Peterborough United,"{'64': 'home', '67': 'home', '74': 'away', '88': 'home'}",2021-2022,7
14. september 2021,20:00,0:0,West Bromwich Albion,Derby County,,2021-2022,7
15. september 2021,19:45,1:4,Birmingham City,Fulham FC,"{'10': 'away', '44': 'away', '54': 'away', '83': 'away', '87': 'home'}",2021-2022,7
15. september 2021,19:45,1:1,Bristol City,Luton Town,"{'57': 'home', '90': 'away'}",2021-2022,7
15. september 2021,19:45,1:0,Coventry City,Cardiff City,{'15': 'home'},2021-2022,7
15. september 2021,19:45,0:2,Nottingham Forest,Middlesbrough FC,"{'24': 'away', '72': 'away'}",2021-2022,7
15. september 2021,19:45,0:0,Swansea City,Millwall FC,,2021-2022,7
15. september 2021,19:45,1:1,Stoke City,Barnsley FC,"{'17': 'home', '38': 'away'}",2021-2022,7
18. september 2021,12:30,1:3,Hull City,Sheffield United,"{'17': 'away', '50': 'away', '61': 'away', '74': 'home'}",2021-2022,8
18. september 2021,15:00,0:1,Cardiff City,AFC Bournemouth,{'54': 'away'},2021-2022,8
18. september 2021,15:00,2:1,Derby County,Stoke City,"{'31': 'home', '34': 'home', '58': 'away'}",2021-2022,8
18. september 2021,15:00,0:0,Barnsley FC,Blackburn Rovers,,2021-2022,8
18. september 2021,15:00,1:2,Fulham FC,Reading FC,"{'19': 'away', '53': 'away', '86': 'home'}",2021-2022,8
18. september 2021,15:00,1:2,Middlesbrough FC,Blackpool FC,"{'8': 'home', '62': 'away', '78': 'away'}",2021-2022,8
18. september 2021,15:00,1:1,Millwall FC,Coventry City,"{'9': 'away', '21': 'home'}",2021-2022,8
18. september 2021,15:00,0:2,Huddersfield Town,Nottingham Forest,"{'22': 'away', '48': 'away'}",2021-2022,8
18. september 2021,15:00,3:3,Luton Town,Swansea City,"{'7': 'home', '15': 'home', '23': 'home', '63': 'away', '86': 'away', '90': 'away'}",2021-2022,8
18. september 2021,15:00,3:0,Peterborough United,Birmingham City,"{'1': 'home', '35': 'home', '50': 'home'}",2021-2022,8
18. september 2021,15:00,1:1,Preston North End,West Bromwich Albion,"{'26': 'home', '45': 'away'}",2021-2022,8
18. september 2021,15:00,1:2,Queens Park Rangers,Bristol City,"{'45': 'away', '54': 'home', '90': 'away'}",2021-2022,8
24. september 2021,19:45,3:0,Coventry City,Peterborough United,"{'57': 'home', '61': 'home', '64': 'home'}",2021-2022,9
24. september 2021,20:00,2:1,West Bromwich Albion,Queens Park Rangers,"{'1': 'away', '75': 'home', '88': 'home'}",2021-2022,9
25. september 2021,12:30,1:0,Reading FC,Middlesbrough FC,{'55': 'home'},2021-2022,9
25. september 2021,15:00,2:1,AFC Bournemouth,Luton Town,"{'17': 'home', '31': 'home', '64': 'away'}",2021-2022,9
25. september 2021,15:00,0:0,Birmingham City,Preston North End,,2021-2022,9
25. september 2021,15:00,5:1,Blackburn Rovers,Cardiff City,"{'24': 'home', '32': 'home', '45': 'home', '53': 'home', '58': 'away', '90': 'home'}",2021-2022,9
25. september 2021,15:00,1:0,Blackpool FC,Barnsley FC,{'32': 'home'},2021-2022,9
25. september 2021,15:00,1:1,Bristol City,Fulham FC,"{'50': 'away', '79': 'home'}",2021-2022,9
25. september 2021,15:00,1:1,Nottingham Forest,Millwall FC,"{'32': 'away', '52': 'home'}",2021-2022,9
25. september 2021,15:00,1:0,Sheffield United,Derby County,{'90': 'home'},2021-2022,9
25. september 2021,15:00,2:0,Stoke City,Hull City,"{'35': 'home', '58': 'home'}",2021-2022,9
25. september 2021,15:00,1:0,Swansea City,Huddersfield Town,{'17': 'home'},2021-2022,9
28. september 2021,19:45,0:4,Cardiff City,West Bromwich Albion,"{'5': 'away', '56': 'away', '75': 'away', '82': 'away'}",2021-2022,10
28. september 2021,19:45,2:0,Middlesbrough FC,Sheffield United,"{'9': 'home', '37': 'home'}",2021-2022,10
28. september 2021,19:45,3:2,Huddersfield Town,Blackburn Rovers,"{'36': 'home', '57': 'away', '60': 'home', '65': 'away', '84': 'home'}",2021-2022,10
28. september 2021,19:45,1:1,Hull City,Blackpool FC,"{'42': 'away', '84': 'home'}",2021-2022,10
28. september 2021,19:45,1:1,Preston North End,Stoke City,"{'6': 'away', '38': 'home'}",2021-2022,10
28. september 2021,19:45,2:0,Queens Park Rangers,Birmingham City,"{'34': 'home', '64': 'home'}",2021-2022,10
29. september 2021,19:45,1:0,Derby County,Reading FC,{'33': 'home'},2021-2022,10
29. september 2021,19:45,1:3,Barnsley FC,Nottingham Forest,"{'20': 'home', '61': 'away', '68': 'away', '82': 'away'}",2021-2022,10
29. september 2021,19:45,3:1,Fulham FC,Swansea City,"{'12': 'home', '32': 'home', '38': 'away', '45': 'home'}",2021-2022,10
29. september 2021,19:45,1:0,Millwall FC,Bristol City,{'64': 'home'},2021-2022,10
29. september 2021,19:45,5:0,Luton Town,Coventry City,"{'3': 'home', '18': 'home', '30': 'home', '45': 'home', '58': 'home'}",2021-2022,10
29. september 2021,19:45,0:0,Peterborough United,AFC Bournemouth,,2021-2022,10
1. october 2021,19:45,1:0,Stoke City,West Bromwich Albion,{'79': 'home'},2021-2022,11
2. october 2021,12:30,4:1,Coventry City,Fulham FC,"{'18': 'away', '47': 'home', '51': 'home', '61': 'home', '70': 'home'}",2021-2022,11
2. october 2021,15:00,2:1,AFC Bournemouth,Sheffield United,"{'56': 'away', '62': 'home', '65': 'home'}",2021-2022,11
2. october 2021,15:00,0:3,Birmingham City,Nottingham Forest,"{'11': 'away', '29': 'away', '53': 'away'}",2021-2022,11
2. october 2021,15:00,2:1,Blackpool FC,Blackburn Rovers,"{'4': 'home', '24': 'home', '50': 'away'}",2021-2022,11
2. october 2021,15:00,0:1,Cardiff City,Reading FC,{'38': 'away'},2021-2022,11
2. october 2021,15:00,0:0,Derby County,Swansea City,,2021-2022,11
2. october 2021,15:00,0:1,Barnsley FC,Millwall FC,{'89': 'away'},2021-2022,11
2. october 2021,15:00,2:0,Hull City,Middlesbrough FC,"{'81': 'home', '90': 'home'}",2021-2022,11
2. october 2021,15:00,0:0,Luton Town,Huddersfield Town,,2021-2022,11
2. october 2021,15:00,2:3,Peterborough United,Bristol City,"{'22': 'home', '34': 'away', '40': 'away', '43': 'home', '84': 'away'}",2021-2022,11
2. october 2021,15:00,3:2,Queens Park Rangers,Preston North End,"{'17': 'home', '27': 'away', '46': 'away', '71': 'home', '74': 'home'}",2021-2022,11
15. october 2021,20:00,1:0,West Bromwich Albion,Birmingham City,{'75': 'home'},2021-2022,12
16. october 2021,12:30,4:1,Fulham FC,Queens Park Rangers,"{'10': 'home', '55': 'away', '67': 'home', '71': 'home', '90': 'home'}",2021-2022,12
16. october 2021,15:00,2:2,Blackburn Rovers,Coventry City,"{'39': 'home', '45': 'home', '62': 'away', '68': 'away'}",2021-2022,12
16. october 2021,15:00,0:2,Bristol City,AFC Bournemouth,"{'21': 'away', '45': 'away'}",2021-2022,12
16. october 2021,15:00,2:0,Middlesbrough FC,Peterborough United,"{'85': 'home', '90': 'home'}",2021-2022,12
16. october 2021,15:00,0:2,Millwall FC,Luton Town,"{'11': 'away', '53': 'away'}",2021-2022,12
16. october 2021,15:00,1:0,Reading FC,Barnsley FC,{'77': 'home'},2021-2022,12
16. october 2021,15:00,2:0,Huddersfield Town,Hull City,"{'9': 'home', '73': 'home'}",2021-2022,12
16. october 2021,15:00,2:1,Nottingham Forest,Blackpool FC,"{'22': 'home', '53': 'away', '61': 'home'}",2021-2022,12
16. october 2021,15:00,0:0,Preston North End,Derby County,,2021-2022,12
16. october 2021,15:00,2:1,Sheffield United,Stoke City,"{'55': 'away', '80': 'home', '83': 'home'}",2021-2022,12
17. october 2021,12:00,3:0,Swansea City,Cardiff City,"{'29': 'home', '60': 'home', '74': 'home'}",2021-2022,12
19. october 2021,19:45,1:2,Bristol City,Nottingham Forest,"{'39': 'home', '90': 'away'}",2021-2022,13
19. october 2021,19:45,2:2,Derby County,Luton Town,"{'20': 'home', None: 'away', '60': 'home', '83': 'away'}",2021-2022,13
19. october 2021,19:45,1:0,Queens Park Rangers,Blackburn Rovers,{'83': 'home'},2021-2022,13
19. october 2021,19:45,1:2,Sheffield United,Millwall FC,"{'11': 'away', '45': 'home', '90': 'away'}",2021-2022,13
19. october 2021,19:45,0:1,Stoke City,AFC Bournemouth,{'51': 'away'},2021-2022,13
20. october 2021,19:45,2:0,Fulham FC,Cardiff City,"{'57': 'home', '63': 'home'}",2021-2022,13
20. october 2021,19:45,2:0,Middlesbrough FC,Barnsley FC,"{'20': 'home', '87': 'home'}",2021-2022,13
20. october 2021,19:45,0:0,Huddersfield Town,Birmingham City,,2021-2022,13
20. october 2021,19:45,1:2,Hull City,Peterborough United,"{'43': 'away', '45': 'home', '72': 'away'}",2021-2022,13
20. october 2021,19:45,2:1,Preston North End,Coventry City,"{'45': 'away', '61': 'home', '69': 'home'}",2021-2022,13
20. october 2021,19:45,2:1,Swansea City,West Bromwich Albion,"{'1': 'away', '61': 'home', '83': 'home'}",2021-2022,13
20. october 2021,20:00,2:3,Reading FC,Blackpool FC,"{'11': 'home', '21': 'home', '69': 'away', '73': 'away', '85': 'away'}",2021-2022,13
23. october 2021,12:30,0:2,Cardiff City,Middlesbrough FC,"{'35': 'away', '74': 'away'}",2021-2022,14
23. october 2021,15:00,3:0,AFC Bournemouth,Huddersfield Town,"{'10': 'home', '21': 'home', '64': 'home'}",2021-2022,14
23. october 2021,15:00,2:1,Birmingham City,Swansea City,"{'47': 'home', '77': 'away', '82': 'home'}",2021-2022,14
23. october 2021,15:00,2:0,Blackburn Rovers,Reading FC,"{'61': 'home', '64': 'home'}",2021-2022,14
23. october 2021,15:00,2:0,Blackpool FC,Preston North End,"{'27': 'home', '68': 'home'}",2021-2022,14
23. october 2021,15:00,1:1,Coventry City,Derby County,"{'20': 'home', '78': 'away'}",2021-2022,14
23. october 2021,15:00,2:1,Millwall FC,Stoke City,"{'20': 'away', '51': 'home', '61': 'home'}",2021-2022,14
23. october 2021,15:00,1:0,Luton Town,Hull City,{'17': 'home'},2021-2022,14
23. october 2021,15:00,2:1,Peterborough United,Queens Park Rangers,"{'50': 'away', '56': 'home', '90': 'home'}",2021-2022,14
23. october 2021,15:00,3:0,West Bromwich Albion,Bristol City,"{'7': 'home', '42': 'home', '52': 'home'}",2021-2022,14
24. october 2021,12:30,2:3,Barnsley FC,Sheffield United,"{'51': 'away', '53': 'away', '72': 'away', '78': 'home', '82': 'home'}",2021-2022,14
24. october 2021,15:00,0:4,Nottingham Forest,Fulham FC,"{'7': 'away', '58': 'away', '61': 'away', '67': 'away'}",2021-2022,14
29. october 2021,19:45,1:1,Queens Park Rangers,Nottingham Forest,"{'45': 'home', '90': 'away'}",2021-2022,15
30. october 2021,12:30,3:0,Fulham FC,West Bromwich Albion,"{'20': 'home', '40': 'home', '82': 'home'}",2021-2022,15
30. october 2021,15:00,2:1,Bristol City,Barnsley FC,"{'28': 'away', '42': 'home', '45': 'home'}",2021-2022,15
30. october 2021,15:00,1:2,Derby County,Blackburn Rovers,"{'8': 'away', '20': 'away', '89': 'home'}",2021-2022,15
30. october 2021,15:00,0:2,Middlesbrough FC,Birmingham City,"{'53': 'away', '56': 'away'}",2021-2022,15
30. october 2021,15:00,1:0,Huddersfield Town,Millwall FC,{'82': 'home'},2021-2022,15
30. october 2021,15:00,0:1,Hull City,Coventry City,{'9': 'away'},2021-2022,15
30. october 2021,15:00,2:0,Preston North End,Luton Town,"{'27': 'home', '45': 'home'}",2021-2022,15
30. october 2021,15:00,0:1,Sheffield United,Blackpool FC,{'76': 'away'},2021-2022,15
30. october 2021,15:00,3:3,Stoke City,Cardiff City,"{'9': 'home', '16': 'home', '46': 'home', '66': 'away', '70': 'away', '71': 'away'}",2021-2022,15
30. october 2021,15:00,3:0,Swansea City,Peterborough United,"{'2': 'home', '13': 'home', '45': 'home'}",2021-2022,15
30. october 2021,20:00,0:2,Reading FC,AFC Bournemouth,"{'43': 'away', '59': 'away'}",2021-2022,15
2. november 2021,19:45,3:0,Birmingham City,Bristol City,"{'14': 'home', '67': 'home', '76': 'home'}",2021-2022,16
2. november 2021,19:45,1:2,Coventry City,Swansea City,"{'5': 'away', '12': 'away', '27': 'home'}",2021-2022,16
2. november 2021,19:45,1:0,Millwall FC,Reading FC,{'71': 'home'},2021-2022,16
2. november 2021,19:45,3:1,Luton Town,Middlesbrough FC,"{'15': 'away', '57': 'home', '60': 'home', '62': 'home'}",2021-2022,16
2. november 2021,19:45,1:1,Nottingham Forest,Sheffield United,"{'78': 'away', '83': 'home'}",2021-2022,16
2. november 2021,19:45,1:1,Peterborough United,Huddersfield Town,"{'74': 'away', '84': 'home'}",2021-2022,16
3. november 2021,19:45,1:2,AFC Bournemouth,Preston North End,"{'52': 'away', '60': 'home', '78': 'away'}",2021-2022,16
3. november 2021,19:45,0:7,Blackburn Rovers,Fulham FC,"{'6': 'away', '19': 'away', '54': 'away', '58': 'away', '79': 'away', '81': 'away', '90': 'away'}",2021-2022,16
3. november 2021,19:45,0:1,Blackpool FC,Stoke City,{'79': 'away'},2021-2022,16
3. november 2021,19:45,0:1,Cardiff City,Queens Park Rangers,{'37': 'away'},2021-2022,16
3. november 2021,19:45,2:1,Barnsley FC,Derby County,"{'24': 'away', '39': 'home', '50': 'home'}",2021-2022,16
3. november 2021,20:00,1:0,West Bromwich Albion,Hull City,{'69': 'home'},2021-2022,16
6. november 2021,15:00,4:0,AFC Bournemouth,Swansea City,"{'26': 'home', '49': 'home', '64': 'home', '90': 'home'}",2021-2022,17
6. november 2021,15:00,3:1,Blackburn Rovers,Sheffield United,"{'2': 'away', '37': 'home', '59': 'home', '70': 'home'}",2021-2022,17
6. november 2021,15:00,2:1,Cardiff City,Huddersfield Town,"{'12': 'away', '74': 'home', '90': 'home'}",2021-2022,17
6. november 2021,15:00,3:2,Coventry City,Bristol City,"{'45': 'away', '51': 'home', '68': 'away', '74': 'home', '90': 'home'}",2021-2022,17
6. november 2021,15:00,0:2,Barnsley FC,Hull City,"{'33': 'away', '75': 'away'}",2021-2022,17
6. november 2021,15:00,1:1,Millwall FC,Derby County,"{'44': 'away', '45': 'home'}",2021-2022,17
6. november 2021,15:00,0:1,Luton Town,Stoke City,{'34': 'away'},2021-2022,17
6. november 2021,15:00,3:0,Nottingham Forest,Preston North End,"{'32': 'home', '41': 'home', '70': 'home'}",2021-2022,17
6. november 2021,15:00,0:1,Peterborough United,Fulham FC,{'74': 'away'},2021-2022,17
6. november 2021,15:00,1:1,West Bromwich Albion,Middlesbrough FC,"{'38': 'away', '65': 'home'}",2021-2022,17
6. november 2021,15:30,1:2,Birmingham City,Reading FC,"{'3': 'home', '70': 'away', '82': 'away'}",2021-2022,17
6. november 2021,17:30,1:1,Blackpool FC,Queens Park Rangers,"{'26': 'away', '54': 'home'}",2021-2022,17
19. november 2021,19:45,2:0,Queens Park Rangers,Luton Town,"{'10': 'home', '55': 'home'}",2021-2022,18
20. november 2021,12:30,0:0,Sheffield United,Coventry City,,2021-2022,18
20. november 2021,15:00,1:1,Bristol City,Blackburn Rovers,"{'34': 'home', '75': 'away'}",2021-2022,18
20. november 2021,15:00,4:1,Fulham FC,Barnsley FC,"{'24': 'home', '34': 'home', '72': 'home', '78': 'away', '81': 'home'}",2021-2022,18
20. november 2021,15:00,1:1,Middlesbrough FC,Millwall FC,"{'15': 'home', '27': 'away'}",2021-2022,18
20. november 2021,15:00,1:1,Reading FC,Nottingham Forest,"{'4': 'away', '64': 'home'}",2021-2022,18
20. november 2021,15:00,1:0,Huddersfield Town,West Bromwich Albion,{'6': 'home'},2021-2022,18
20. november 2021,15:00,2:0,Hull City,Birmingham City,"{'17': 'home', '57': 'home'}",2021-2022,18
20. november 2021,15:00,1:2,Preston North End,Cardiff City,"{'2': 'home', '51': 'away', '66': 'away'}",2021-2022,18
20. november 2021,15:00,2:0,Stoke City,Peterborough United,"{'3': 'home', '90': 'home'}",2021-2022,18
20. november 2021,15:00,1:1,Swansea City,Blackpool FC,"{'35': 'home', '86': 'away'}",2021-2022,18
21. november 2021,12:00,3:2,Derby County,AFC Bournemouth,"{'13': 'home', '19': 'away', '38': 'away', '62': 'home', '69': 'home'}",2021-2022,18
23. november 2021,19:45,0:0,Blackpool FC,West Bromwich Albion,,2021-2022,19
23. november 2021,19:45,0:0,Coventry City,Birmingham City,,2021-2022,19
23. november 2021,19:45,1:2,Middlesbrough FC,Preston North End,"{'33': 'home', '77': 'away', '81': 'away'}",2021-2022,19
23. november 2021,19:45,0:0,Nottingham Forest,Luton Town,,2021-2022,19
23. november 2021,20:00,0:1,Reading FC,Sheffield United,{'56': 'away'},2021-2022,19
24. november 2021,19:45,0:0,Fulham FC,Derby County,,2021-2022,19
24. november 2021,19:45,4:0,Blackburn Rovers,Peterborough United,"{'16': 'home', '35': 'home', '45': 'home', '60': 'home'}",2021-2022,19
24. november 2021,19:45,1:0,Bristol City,Stoke City,{'38': 'home'},2021-2022,19
24. november 2021,19:45,0:1,Cardiff City,Hull City,{'15': 'away'},2021-2022,19
24. november 2021,19:45,0:2,Barnsley FC,Swansea City,"{'74': 'away', '79': 'away'}",2021-2022,19
24. november 2021,19:45,1:1,Millwall FC,AFC Bournemouth,"{'44': 'away', '67': 'home'}",2021-2022,19
24. november 2021,19:45,1:0,Queens Park Rangers,Huddersfield Town,{'81': 'home'},2021-2022,19
26. november 2021,20:00,0:0,West Bromwich Albion,Nottingham Forest,,2021-2022,20
27. november 2021,12:30,1:1,Preston North End,Fulham FC,"{'15': 'away', None: 'home'}",2021-2022,20
27. november 2021,15:00,2:2,AFC Bournemouth,Coventry City,"{'45': 'home', '66': 'home', '85': 'away', '90': 'away'}",2021-2022,20
27. november 2021,15:00,1:0,Birmingham City,Blackpool FC,{'81': 'home'},2021-2022,20
27. november 2021,15:00,1:2,Huddersfield Town,Middlesbrough FC,"{'16': 'away', '23': 'away', '90': 'home'}",2021-2022,20
27. november 2021,15:00,2:1,Hull City,Millwall FC,"{'29': 'home', '45': 'away', '53': 'home'}",2021-2022,20
27. november 2021,15:00,1:2,Luton Town,Cardiff City,"{'10': 'away', '64': 'home', '77': 'away'}",2021-2022,20
27. november 2021,15:00,0:0,Peterborough United,Barnsley FC,,2021-2022,20
27. november 2021,15:00,0:1,Stoke City,Blackburn Rovers,{'52': 'away'},2021-2022,20
27. november 2021,15:00,2:3,Swansea City,Reading FC,"{'3': 'home', '4': 'away', '30': 'away', '49': 'home', '50': 'away'}",2021-2022,20
28. november 2021,12:30,2:0,Sheffield United,Bristol City,"{'40': 'home', '89': 'home'}",2021-2022,20
