date,time,final_score,goals,country,league,home,away
7. november 2021,16:30,2:2,"{'7': 'home', '9': 'away', '45': 'away', '86': 'home'}",germany,bundesliga,1-fc-koeln,1-fc-union-berlin
9. april 2022,14:30,3:2,"{'14': 'away', '55': 'away', '60': 'home', '78': 'home', '82': 'home'}",germany,bundesliga,1-fc-koeln,1-fsv-mainz-05
6. march 2022,16:30,0:1,{'62': 'away'},germany,bundesliga,1-fc-koeln,1899-hoffenheim
23. april 2022,14:30,3:1,"{'3': 'home', '33': 'away', '43': 'home', '86': 'home'}",germany,bundesliga,1-fc-koeln,arminia-bielefeld
24. october 2021,14:30,2:2,"{'15': 'away', '17': 'away', '63': 'home', '82': 'home'}",germany,bundesliga,1-fc-koeln,bayer-leverkusen
15. january 2022,14:30,0:4,"{'9': 'away', '25': 'away', '62': 'away', '74': 'away'}",germany,bundesliga,1-fc-koeln,bayern-muenchen
27. november 2021,14:30,4:1,"{'55': 'home', '74': 'away', '77': 'home', '78': 'home', '90': 'home'}",germany,bundesliga,1-fc-koeln,bor-moenchengladbach
20. march 2022,18:30,1:1,"{'8': 'away', '36': 'home'}",germany,bundesliga,1-fc-koeln,borussia-dortmund
19. february 2022,17:30,1:0,{'84': 'home'},germany,bundesliga,1-fc-koeln,eintracht-frankfurt
10. december 2021,19:30,0:2,"{'72': 'away', '88': 'away'}",germany,bundesliga,1-fc-koeln,fc-augsburg
15. august 2021,16:30,3:1,"{'5': 'away', '41': 'home', '52': 'home', '55': 'home'}",germany,bundesliga,1-fc-koeln,hertha-bsc
18. september 2021,17:30,1:1,"{'53': 'home', '71': 'away'}",germany,bundesliga,1-fc-koeln,rb-leipzig
5. february 2022,14:30,1:0,{'23': 'home'},germany,bundesliga,1-fc-koeln,sc-freiburg
1. october 2021,19:30,3:1,"{'7': 'away', '50': 'home', '55': 'home', '89': 'home'}",germany,bundesliga,1-fc-koeln,spvgg-greuther-fuerth
19. december 2021,16:30,1:0,{'89': 'home'},germany,bundesliga,1-fc-koeln,vfb-stuttgart
28. august 2021,14:30,2:1,"{'82': 'home', '90': 'away'}",germany,bundesliga,1-fc-koeln,vfl-bochum
7. may 2022,14:30,0:1,{'43': 'away'},germany,bundesliga,1-fc-koeln,vfl-wolfsburg
1. april 2022,19:30,1:0,{'49': 'home'},germany,bundesliga,1-fc-union-berlin,1-fc-koeln
26. february 2022,14:30,3:1,"{'7': 'home', '56': 'home', '75': 'home', '90': 'away'}",germany,bundesliga,1-fc-union-berlin,1-fsv-mainz-05
15. january 2022,14:30,2:1,"{'16': 'away', '22': 'home', '73': 'home'}",germany,bundesliga,1-fc-union-berlin,1899-hoffenheim
25. september 2021,14:30,1:0,{'88': 'home'},germany,bundesliga,1-fc-union-berlin,arminia-bielefeld
14. august 2021,14:30,1:1,"{'7': 'home', '12': 'away'}",germany,bundesliga,1-fc-union-berlin,bayer-leverkusen
30. october 2021,14:30,2:5,"{'15': 'away', '23': 'away', '35': 'away', '43': 'home', '60': 'away', '64': 'home', '79': 'away'}",germany,bundesliga,1-fc-union-berlin,bayern-muenchen
29. august 2021,14:30,2:1,"{'22': 'home', '41': 'home', '90': 'away'}",germany,bundesliga,1-fc-union-berlin,bor-moenchengladbach
13. february 2022,14:30,0:3,"{'18': 'away', '25': 'away', '71': 'away'}",germany,bundesliga,1-fc-union-berlin,borussia-dortmund
17. april 2022,16:30,2:0,"{'17': 'home', '21': 'home'}",germany,bundesliga,1-fc-union-berlin,eintracht-frankfurt
11. september 2021,14:30,0:0,,germany,bundesliga,1-fc-union-berlin,fc-augsburg
20. november 2021,17:30,2:0,"{'8': 'home', '30': 'home'}",germany,bundesliga,1-fc-union-berlin,hertha-bsc
3. december 2021,19:30,2:1,"{'6': 'home', '13': 'away', '57': 'home'}",germany,bundesliga,1-fc-union-berlin,rb-leipzig
15. december 2021,19:30,0:0,,germany,bundesliga,1-fc-union-berlin,sc-freiburg
29. april 2022,19:30,1:1,"{'33': 'away', '72': 'home'}",germany,bundesliga,1-fc-union-berlin,spvgg-greuther-fuerth
12. march 2022,14:30,1:1,"{'41': 'home', '90': 'away'}",germany,bundesliga,1-fc-union-berlin,vfb-stuttgart
14. may 2022,14:30,3:2,"{'5': 'home', '25': 'home', '55': 'away', '79': 'away', '88': 'home'}",germany,bundesliga,1-fc-union-berlin,vfl-bochum
16. october 2021,14:30,2:0,"{'49': 'home', '82': 'home'}",germany,bundesliga,1-fc-union-berlin,vfl-wolfsburg
21. november 2021,16:30,1:1,"{'41': 'home', '47': 'away'}",germany,bundesliga,1-fsv-mainz-05,1-fc-koeln
3. october 2021,14:30,1:2,"{'39': 'home', '70': 'away', '73': 'away'}",germany,bundesliga,1-fsv-mainz-05,1-fc-union-berlin
5. february 2022,14:30,2:0,"{'79': 'home', '83': 'home'}",germany,bundesliga,1-fsv-mainz-05,1899-hoffenheim
19. march 2022,14:30,4:0,"{'1': 'home', '65': 'home', '75': 'home', '79': 'home'}",germany,bundesliga,1-fsv-mainz-05,arminia-bielefeld
18. february 2022,19:30,3:2,"{'35': 'away', '57': 'home', '74': 'away', '84': 'home', '88': 'home'}",germany,bundesliga,1-fsv-mainz-05,bayer-leverkusen
30. april 2022,14:30,3:1,"{'18': 'home', '27': 'home', '33': 'away', '57': 'home'}",germany,bundesliga,1-fsv-mainz-05,bayern-muenchen
5. november 2021,19:30,1:1,"{'38': 'away', '76': 'home'}",germany,bundesliga,1-fsv-mainz-05,bor-moenchengladbach
16. march 2022,17:30,0:1,{'87': 'away'},germany,bundesliga,1-fsv-mainz-05,borussia-dortmund
14. may 2022,14:30,2:2,"{'10': 'home', '26': 'away', '35': 'away', '49': 'home'}",germany,bundesliga,1-fsv-mainz-05,eintracht-frankfurt
22. october 2021,19:30,4:1,"{'10': 'home', '15': 'home', '26': 'home', '69': 'away', '71': 'home'}",germany,bundesliga,1-fsv-mainz-05,fc-augsburg
14. december 2021,19:30,4:0,"{'19': 'home', '41': 'home', '49': 'home', '79': 'home'}",germany,bundesliga,1-fsv-mainz-05,hertha-bsc
15. august 2021,14:30,1:0,{'13': 'home'},germany,bundesliga,1-fsv-mainz-05,rb-leipzig
18. september 2021,14:30,0:0,,germany,bundesliga,1-fsv-mainz-05,sc-freiburg
28. august 2021,14:30,3:0,"{'15': 'home', '18': 'home', '90': 'home'}",germany,bundesliga,1-fsv-mainz-05,spvgg-greuther-fuerth
16. april 2022,14:30,0:0,,germany,bundesliga,1-fsv-mainz-05,vfb-stuttgart
15. january 2022,14:30,1:0,{'48': 'home'},germany,bundesliga,1-fsv-mainz-05,vfl-bochum
4. december 2021,14:30,3:0,"{'2': 'home', '4': 'home', '90': 'home'}",germany,bundesliga,1-fsv-mainz-05,vfl-wolfsburg
15. october 2021,19:30,5:0,"{'31': 'home', '49': 'home', '51': 'home', '74': 'home', '87': 'home'}",germany,bundesliga,1899-hoffenheim,1-fc-koeln
22. august 2021,14:30,2:2,"{'10': 'away', '14': 'home', '30': 'home', '47': 'away'}",germany,bundesliga,1899-hoffenheim,1-fc-union-berlin
11. september 2021,14:30,0:2,"{'21': 'away', '77': 'away'}",germany,bundesliga,1899-hoffenheim,1-fsv-mainz-05
13. february 2022,16:30,2:0,"{'22': 'home', '51': 'home'}",germany,bundesliga,1899-hoffenheim,arminia-bielefeld
7. may 2022,14:30,2:4,"{'22': 'home', '34': 'away', '36': 'home', '73': 'away', '76': 'away', '90': 'away'}",germany,bundesliga,1899-hoffenheim,bayer-leverkusen
12. march 2022,14:30,1:1,"{'32': 'home', '45': 'away'}",germany,bundesliga,1899-hoffenheim,bayern-muenchen
18. december 2021,14:30,1:1,"{'35': 'away', '90': 'home'}",germany,bundesliga,1899-hoffenheim,bor-moenchengladbach
22. january 2022,14:30,2:3,"{'6': 'away', '45': 'home', '58': 'away', '66': 'away', '77': 'home'}",germany,bundesliga,1899-hoffenheim,borussia-dortmund
4. december 2021,14:30,3:2,"{'15': 'away', '24': 'home', '30': 'home', '59': 'home', '72': 'away'}",germany,bundesliga,1899-hoffenheim,eintracht-frankfurt
8. january 2022,14:30,3:1,"{'5': 'away', '38': 'home', '44': 'home', '90': 'home'}",germany,bundesliga,1899-hoffenheim,fc-augsburg
29. october 2021,19:30,2:0,"{'19': 'home', '36': 'home'}",germany,bundesliga,1899-hoffenheim,hertha-bsc
20. november 2021,14:30,2:0,"{'12': 'home', '68': 'home'}",germany,bundesliga,1899-hoffenheim,rb-leipzig
30. april 2022,17:30,3:4,"{'23': 'away', '32': 'home', '49': 'home', '50': 'away', '70': 'away', '73': 'away', '84': 'home'}",germany,bundesliga,1899-hoffenheim,sc-freiburg
17. april 2022,16:30,0:0,,germany,bundesliga,1899-hoffenheim,spvgg-greuther-fuerth
25. february 2022,19:30,2:1,"{'58': 'away', '85': 'home', '90': 'home'}",germany,bundesliga,1899-hoffenheim,vfb-stuttgart
2. april 2022,14:30,1:2,"{'28': 'away', '54': 'home', '59': 'away'}",germany,bundesliga,1899-hoffenheim,vfl-bochum
25. september 2021,14:30,3:1,"{'25': 'away', '45': 'home', '73': 'home', '81': 'home'}",germany,bundesliga,1899-hoffenheim,vfl-wolfsburg
4. december 2021,14:30,1:1,"{'17': 'away', '59': 'home'}",germany,bundesliga,arminia-bielefeld,1-fc-koeln
19. february 2022,14:30,1:0,{'53': 'home'},germany,bundesliga,arminia-bielefeld,1-fc-union-berlin
30. october 2021,14:30,1:2,"{'25': 'away', '42': 'home', '69': 'away'}",germany,bundesliga,arminia-bielefeld,1-fsv-mainz-05
18. september 2021,14:30,0:0,,germany,bundesliga,arminia-bielefeld,1899-hoffenheim
3. october 2021,18:30,0:4,"{'18': 'away', '24': 'away', '57': 'away', '90': 'away'}",germany,bundesliga,arminia-bielefeld,bayer-leverkusen
17. april 2022,14:30,0:3,"{'10': 'away', '45': 'away', '85': 'away'}",germany,bundesliga,arminia-bielefeld,bayern-muenchen
5. february 2022,14:30,1:1,"{'19': 'home', '38': 'away'}",germany,bundesliga,arminia-bielefeld,bor-moenchengladbach
23. october 2021,14:30,1:3,"{'31': 'away', '45': 'away', '72': 'away', '87': 'home'}",germany,bundesliga,arminia-bielefeld,borussia-dortmund
28. august 2021,14:30,1:1,"{'22': 'away', '86': 'home'}",germany,bundesliga,arminia-bielefeld,eintracht-frankfurt
4. march 2022,19:30,0:1,{'50': 'away'},germany,bundesliga,arminia-bielefeld,fc-augsburg
30. april 2022,14:30,1:1,"{'54': 'away', '90': 'home'}",germany,bundesliga,arminia-bielefeld,hertha-bsc
14. may 2022,14:30,1:1,"{None: 'home', '90': 'away'}",germany,bundesliga,arminia-bielefeld,rb-leipzig
14. august 2021,14:30,0:0,,germany,bundesliga,arminia-bielefeld,sc-freiburg
16. january 2022,16:30,2:2,"{'8': 'home', '35': 'away', '67': 'away', '83': 'home'}",germany,bundesliga,arminia-bielefeld,spvgg-greuther-fuerth
2. april 2022,14:30,1:1,"{'25': 'away', '59': 'home'}",germany,bundesliga,arminia-bielefeld,vfb-stuttgart
14. december 2021,19:30,2:0,"{'51': 'home', '69': 'home'}",germany,bundesliga,arminia-bielefeld,vfl-bochum
20. november 2021,14:30,2:2,"{'11': 'home', '54': 'home', '62': 'away', '63': 'away'}",germany,bundesliga,arminia-bielefeld,vfl-wolfsburg
13. march 2022,14:30,0:1,{'67': 'away'},germany,bundesliga,bayer-leverkusen,1-fc-koeln
8. january 2022,14:30,2:2,"{'38': 'home', '45': 'away', '50': 'away', '84': 'home'}",germany,bundesliga,bayer-leverkusen,1-fc-union-berlin
25. september 2021,14:30,1:0,{'62': 'home'},germany,bundesliga,bayer-leverkusen,1-fsv-mainz-05
15. december 2021,19:30,2:2,"{'37': 'home', '63': 'home', '80': 'away', '83': 'away'}",germany,bundesliga,bayer-leverkusen,1899-hoffenheim
26. february 2022,14:30,3:0,"{'30': 'home', '57': 'home', '81': 'home'}",germany,bundesliga,bayer-leverkusen,arminia-bielefeld
17. october 2021,14:30,1:5,"{'4': 'away', '30': 'away', '34': 'away', '35': 'away', '37': 'away', '55': 'home'}",germany,bundesliga,bayer-leverkusen,bayern-muenchen
21. august 2021,17:30,4:0,"{'3': 'home', '8': 'home', '55': 'home', '87': 'home'}",germany,bundesliga,bayer-leverkusen,bor-moenchengladbach
11. september 2021,14:30,3:4,"{'9': 'home', '37': 'away', '45': 'home', '49': 'away', '55': 'home', '71': 'away', '77': 'away'}",germany,bundesliga,bayer-leverkusen,borussia-dortmund
2. may 2022,19:30,2:0,"{'18': 'home', '51': 'home'}",germany,bundesliga,bayer-leverkusen,eintracht-frankfurt
22. january 2022,14:30,5:1,"{'9': 'home', '24': 'home', '62': 'away', '65': 'home', '69': 'home', '81': 'home'}",germany,bundesliga,bayer-leverkusen,fc-augsburg
2. april 2022,14:30,2:1,"{'34': 'home', '40': 'home', '42': 'away'}",germany,bundesliga,bayer-leverkusen,hertha-bsc
17. april 2022,18:30,0:1,{'69': 'away'},germany,bundesliga,bayer-leverkusen,rb-leipzig
14. may 2022,14:30,2:1,"{'54': 'home', '88': 'away', '90': 'home'}",germany,bundesliga,bayer-leverkusen,sc-freiburg
4. december 2021,14:30,7:1,"{'11': 'home', '17': 'home', '33': 'away', '45': 'home', '49': 'home', '69': 'home', '74': 'home', '76': 'home'}",germany,bundesliga,bayer-leverkusen,spvgg-greuther-fuerth
12. february 2022,17:30,4:2,"{'41': 'home', '49': 'away', '52': 'home', '85': 'home', '88': 'away', '89': 'home'}",germany,bundesliga,bayer-leverkusen,vfb-stuttgart
20. november 2021,14:30,1:0,{'3': 'home'},germany,bundesliga,bayer-leverkusen,vfl-bochum
30. october 2021,14:30,0:2,"{'48': 'away', '51': 'away'}",germany,bundesliga,bayer-leverkusen,vfl-wolfsburg
22. august 2021,16:30,3:2,"{'50': 'home', '59': 'home', '60': 'away', '62': 'away', '71': 'home'}",germany,bundesliga,bayern-muenchen,1-fc-koeln
19. march 2022,17:30,4:0,"{'16': 'home', '25': 'home', '45': 'home', '47': 'home'}",germany,bundesliga,bayern-muenchen,1-fc-union-berlin
11. december 2021,14:30,2:1,"{'22': 'away', '53': 'home', '74': 'home'}",germany,bundesliga,bayern-muenchen,1-fsv-mainz-05
23. october 2021,14:30,4:0,"{'16': 'home', '30': 'home', '82': 'home', '87': 'home'}",germany,bundesliga,bayern-muenchen,1899-hoffenheim
27. november 2021,17:30,1:0,{'71': 'home'},germany,bundesliga,bayern-muenchen,arminia-bielefeld
5. march 2022,14:30,1:1,"{'18': 'home', '36': 'away'}",germany,bundesliga,bayern-muenchen,bayer-leverkusen
7. january 2022,19:30,1:2,"{'18': 'home', '27': 'away', '31': 'away'}",germany,bundesliga,bayern-muenchen,bor-moenchengladbach
23. april 2022,17:30,3:1,"{'15': 'home', '34': 'home', '52': 'away', '83': 'home'}",germany,bundesliga,bayern-muenchen,borussia-dortmund
3. october 2021,16:30,1:2,"{'29': 'home', '32': 'away', '83': 'away'}",germany,bundesliga,bayern-muenchen,eintracht-frankfurt
9. april 2022,14:30,1:0,{'82': 'home'},germany,bundesliga,bayern-muenchen,fc-augsburg
28. august 2021,17:30,5:0,"{'6': 'home', '35': 'home', '49': 'home', '70': 'home', '84': 'home'}",germany,bundesliga,bayern-muenchen,hertha-bsc
5. february 2022,17:30,3:2,"{'12': 'home', '27': 'away', '44': 'home', '53': 'away', '58': 'home'}",germany,bundesliga,bayern-muenchen,rb-leipzig
6. november 2021,14:30,2:1,"{'30': 'home', '75': 'home', '90': 'away'}",germany,bundesliga,bayern-muenchen,sc-freiburg
20. february 2022,14:30,4:1,"{'42': 'away', '46': 'home', '61': 'home', '82': 'home', '90': 'home'}",germany,bundesliga,bayern-muenchen,spvgg-greuther-fuerth
8. may 2022,16:30,2:2,"{'8': 'away', '35': 'home', '44': 'home', '52': 'away'}",germany,bundesliga,bayern-muenchen,vfb-stuttgart
18. september 2021,14:30,7:0,"{'17': 'home', '27': 'home', '32': 'home', '43': 'home', '61': 'home', '65': 'home', '79': 'home'}",germany,bundesliga,bayern-muenchen,vfl-bochum
17. december 2021,19:30,4:0,"{'7': 'home', '57': 'home', '59': 'home', '87': 'home'}",germany,bundesliga,bayern-muenchen,vfl-wolfsburg
16. april 2022,17:30,1:3,"{'5': 'away', '20': 'away', '34': 'away', '85': 'home'}",germany,bundesliga,bor-moenchengladbach,1-fc-koeln
22. january 2022,14:30,1:2,"{'18': 'away', '40': 'home', '84': 'away'}",germany,bundesliga,bor-moenchengladbach,1-fc-union-berlin
3. april 2022,16:30,1:1,"{'33': 'home', '73': 'away'}",germany,bundesliga,bor-moenchengladbach,1-fsv-mainz-05
14. may 2022,14:30,5:1,"{'3': 'away', '26': 'home', '43': 'home', '45': 'home', '53': 'home', '68': 'home'}",germany,bundesliga,bor-moenchengladbach,1899-hoffenheim
12. september 2021,18:30,3:1,"{'35': 'home', '45': 'away', '69': 'home', '72': 'home'}",germany,bundesliga,bor-moenchengladbach,arminia-bielefeld
15. january 2022,17:30,1:2,"{'51': 'away', '74': 'away', '81': 'home'}",germany,bundesliga,bor-moenchengladbach,bayer-leverkusen
13. august 2021,19:30,1:1,"{'10': 'home', '42': 'away'}",germany,bundesliga,bor-moenchengladbach,bayern-muenchen
25. september 2021,17:30,1:0,{'37': 'home'},germany,bundesliga,bor-moenchengladbach,borussia-dortmund
