date,time,final_score,goals,country,league,home,away,season
2022-09-11,14:30,0:1,{'3': 'away'},germany,bundesliga,FC Koln,Union Berlin,2022-2023
2023-04-15,14:30,1:1,"{'17': 'away', '51': 'home'}",germany,bundesliga,FC Koln,Mainz,2022-2023
2022-10-30,18:30,1:1,"{'13': 'home', '36': 'away'}",germany,bundesliga,FC Koln,Hoffenheim,2022-2023
2022-11-09,17:30,1:2,"{'30': 'home', '65': 'away', '71': 'away'}",germany,bundesliga,FC Koln,Leverkusen,2022-2023
2023-05-27,14:30,1:2,"{'8': 'away', '81': 'home', '89': 'away'}",germany,bundesliga,FC Koln,Bayern Munich,2022-2023
2023-04-02,14:30,0:0,,germany,bundesliga,FC Koln,M'gladbach,2022-2023
2022-10-01,14:30,3:2,"{'31': 'away', '53': 'home', '56': 'home', '71': 'home', '78': 'away'}",germany,bundesliga,FC Koln,Dortmund,2022-2023
2023-02-12,16:30,3:0,"{'49': 'home', '71': 'home', '86': 'home'}",germany,bundesliga,FC Koln,Ein Frankfurt,2022-2023
2022-10-16,14:30,3:2,"{'14': 'away', '47': 'home', '61': 'home', '68': 'away', '81': 'home'}",germany,bundesliga,FC Koln,Augsburg,2022-2023
2022-08-07,16:30,3:1,"{'49': 'home', '62': 'home', '76': 'away', '80': 'home'}",germany,bundesliga,FC Koln,Schalke 04,2022-2023
2023-05-12,19:30,5:2,"{'8': 'home', '18': 'away', '33': 'away', '39': 'home', '43': 'home', '69': 'home', '81': 'home'}",germany,bundesliga,FC Koln,Hertha,2022-2023
2023-02-04,14:30,0:0,,germany,bundesliga,FC Koln,RB Leipzig,2022-2023
2023-04-29,14:30,0:1,{'53': 'away'},germany,bundesliga,FC Koln,Freiburg,2022-2023
2022-08-28,14:30,0:0,,germany,bundesliga,FC Koln,Stuttgart,2022-2023
2023-03-10,19:30,0:2,"{'9': 'away', '76': 'away'}",germany,bundesliga,FC Koln,Bochum,2022-2023
2023-02-25,14:30,0:2,"{'4': 'away', '68': 'away'}",germany,bundesliga,FC Koln,Wolfsburg,2022-2023
2023-01-21,17:30,7:1,"{'9': 'home', '15': 'home', '21': 'home', '30': 'home', '36': 'home', '38': 'away', '54': 'home', '76': 'home'}",germany,bundesliga,FC Koln,Werder Bremen,2022-2023
2023-03-04,14:30,0:0,,germany,bundesliga,Union Berlin,FC Koln,2022-2023
2023-02-04,14:30,2:1,"{'32': 'home', '78': 'away', '84': 'home'}",germany,bundesliga,Union Berlin,Mainz,2022-2023
2023-01-21,14:30,3:1,"{'43': 'away', '73': 'home', '89': 'home', '90': 'home'}",germany,bundesliga,Union Berlin,Hoffenheim,2022-2023
2023-04-29,14:30,0:0,,germany,bundesliga,Union Berlin,Leverkusen,2022-2023
2022-09-03,14:30,1:1,"{'12': 'home', '15': 'away'}",germany,bundesliga,Union Berlin,Bayern Munich,2022-2023
2022-10-30,14:30,2:1,"{'33': 'away', '79': 'home', '90': 'home'}",germany,bundesliga,Union Berlin,M'gladbach,2022-2023
2022-10-16,16:30,2:0,"{'8': 'home', '21': 'home'}",germany,bundesliga,Union Berlin,Dortmund,2022-2023
2023-03-19,14:30,2:0,"{'53': 'home', '75': 'home'}",germany,bundesliga,Union Berlin,Ein Frankfurt,2022-2023
2022-11-09,19:30,2:2,"{'7': 'home', '8': 'away', '22': 'home', '39': 'away'}",germany,bundesliga,Union Berlin,Augsburg,2022-2023
2023-02-19,14:30,0:0,,germany,bundesliga,Union Berlin,Schalke 04,2022-2023
2022-08-06,14:30,3:1,"{'31': 'home', '50': 'home', '54': 'home', '85': 'away'}",germany,bundesliga,Union Berlin,Hertha,2022-2023
2022-08-20,17:30,2:1,"{'32': 'home', '38': 'home', '83': 'away'}",germany,bundesliga,Union Berlin,RB Leipzig,2022-2023
2023-05-13,14:30,4:2,"{'5': 'home', '36': 'home', '38': 'home', '56': 'away', '70': 'away', '80': 'home'}",germany,bundesliga,Union Berlin,Freiburg,2022-2023
2023-04-01,14:30,3:0,"{'51': 'home', '65': 'home', '68': 'home'}",germany,bundesliga,Union Berlin,Stuttgart,2022-2023
2023-04-16,16:30,1:1,"{'45': 'home', '55': 'away'}",germany,bundesliga,Union Berlin,Bochum,2022-2023
2022-09-18,14:30,2:0,"{'54': 'home', '77': 'home'}",germany,bundesliga,Union Berlin,Wolfsburg,2022-2023
2023-05-27,14:30,1:0,{'81': 'home'},germany,bundesliga,Union Berlin,Werder Bremen,2022-2023
2022-10-21,19:30,5:0,"{'11': 'home', '35': 'home', '40': 'home', '73': 'home', '83': 'home'}",germany,bundesliga,Mainz,FC Koln,2022-2023
2022-08-14,14:30,0:0,,germany,bundesliga,Mainz,Union Berlin,2022-2023
2023-03-04,14:30,1:0,{'33': 'home'},germany,bundesliga,Mainz,Hoffenheim,2022-2023
2022-08-27,14:30,0:3,"{'29': 'away', '39': 'away', '41': 'away'}",germany,bundesliga,Mainz,Leverkusen,2022-2023
2023-04-22,14:30,3:1,"{'29': 'away', '65': 'home', '73': 'home', '79': 'home'}",germany,bundesliga,Mainz,Bayern Munich,2022-2023
2023-02-24,19:30,4:0,"{'25': 'home', '49': 'home', '72': 'home', '90': 'home'}",germany,bundesliga,Mainz,M'gladbach,2022-2023
2023-01-25,17:30,1:2,"{'2': 'home', '4': 'away', '90': 'away'}",germany,bundesliga,Mainz,Dortmund,2022-2023
2022-11-13,14:30,1:1,"{'40': 'home', '67': 'away'}",germany,bundesliga,Mainz,Ein Frankfurt,2022-2023
2023-02-11,14:30,3:1,"{'21': 'home', '24': 'home', '28': 'away', '52': 'home'}",germany,bundesliga,Mainz,Augsburg,2022-2023
2023-05-05,19:30,2:3,"{'26': 'away', '53': 'home', '60': 'away', '70': 'home', '90': 'away'}",germany,bundesliga,Mainz,Schalke 04,2022-2023
2022-09-16,19:30,1:1,"{'30': 'away', '90': 'home'}",germany,bundesliga,Mainz,Hertha,2022-2023
2022-10-08,14:30,1:1,"{'45': 'home', '80': 'away'}",germany,bundesliga,Mainz,RB Leipzig,2022-2023
2023-03-19,18:30,1:1,"{'55': 'away', '90': 'home'}",germany,bundesliga,Mainz,Freiburg,2022-2023
2023-05-21,14:30,1:4,"{'23': 'home', '41': 'away', '64': 'away', '78': 'away', '90': 'away'}",germany,bundesliga,Mainz,Stuttgart,2022-2023
2023-01-28,14:30,5:2,"{'1': 'home', '18': 'home', '28': 'home', '57': 'home', '70': 'away', None: 'away', '87': 'home'}",germany,bundesliga,Mainz,Bochum,2022-2023
2022-11-05,14:30,0:3,"{'33': 'away', '70': 'away', '84': 'away'}",germany,bundesliga,Mainz,Wolfsburg,2022-2023
2023-04-08,14:30,2:2,"{'85': 'home', '87': 'away', '90': 'away'}",germany,bundesliga,Mainz,Werder Bremen,2022-2023
