date,time,final_score,goals,country,league,home,away
22. october 2022,17:00,4:1,"{'16': 'home', '41': 'home', '65': 'home', '70': 'away', '84': 'home'}",italy,serie a,ac-milan,ac-monza
13. november 2022,17:00,2:1,"{'2': 'home', '28': 'away', '90': 'home'}",italy,serie a,ac-milan,acf-fiorentina
8. january 2023,19:45,2:2,"{'30': 'home', '77': 'home', '87': 'away', '90': 'away'}",italy,serie a,ac-milan,as-roma
26. february 2023,19:45,2:0,"{'25': 'home', '86': 'home'}",italy,serie a,ac-milan,atalanta
27. august 2022,19:45,2:0,"{'21': 'home', '58': 'home'}",italy,serie a,ac-milan,bologna-fc
7. april 2023,20:00,0:0,,italy,serie a,ac-milan,empoli-fc
4. june 2023,20:00,3:1,"{'45': 'home', '72': 'away', '85': 'home', '90': 'home'}",italy,serie a,ac-milan,hellas-verona
3. september 2022,17:00,3:2,"{'21': 'away', '28': 'home', '54': 'home', '60': 'home', '67': 'away'}",italy,serie a,ac-milan,inter
8. october 2022,17:00,2:0,"{'45': 'home', '54': 'home'}",italy,serie a,ac-milan,juventus
6. may 2023,14:00,2:0,"{'17': 'home', '29': 'home'}",italy,serie a,ac-milan,lazio-roma
20. may 2023,19:45,5:1,"{'9': 'home', '20': 'away', '23': 'home', '29': 'home', '63': 'home', '68': 'home'}",italy,serie a,ac-milan,sampdoria
29. january 2023,11:30,2:5,"{'19': 'away', '21': 'away', '24': 'home', '30': 'away', '47': 'away', '79': 'away', '81': 'home'}",italy,serie a,ac-milan,sassuolo-calcio
5. november 2022,19:45,2:1,"{'21': 'home', '59': 'away', '89': 'home'}",italy,serie a,ac-milan,spezia-calcio
18. september 2022,19:45,1:2,"{'55': 'away', '69': 'home', '78': 'away'}",italy,serie a,ac-milan,ssc-napoli
10. february 2023,19:45,1:0,{'62': 'home'},italy,serie a,ac-milan,torino-fc
13. august 2022,17:30,4:2,"{'2': 'away', '11': 'home', '15': 'home', '45': 'away', '46': 'home', '68': 'home'}",italy,serie a,ac-milan,udinese-calcio
3. may 2023,20:00,1:1,"{'77': 'away', '90': 'home'}",italy,serie a,ac-milan,us-cremonese
23. april 2023,17:00,2:0,"{'40': 'home', '74': 'home'}",italy,serie a,ac-milan,us-lecce
13. march 2023,19:45,1:1,"{'45': 'home', '61': 'away'}",italy,serie a,ac-milan,us-salernitana-1919
18. february 2023,17:00,0:1,{'31': 'away'},italy,serie a,ac-monza,ac-milan
23. april 2023,14:00,3:2,"{'8': 'away', '13': 'away', '26': 'home', '43': 'home', '59': 'home'}",italy,serie a,ac-monza,acf-fiorentina
3. may 2023,20:00,1:1,"{'24': 'away', '39': 'home'}",italy,serie a,ac-monza,as-roma
5. september 2022,17:30,0:2,"{'57': 'away', '65': 'away'}",italy,serie a,ac-monza,atalanta
31. october 2022,19:45,1:2,"{'57': 'home', '60': 'away', '73': 'away'}",italy,serie a,ac-monza,bologna-fc
4. march 2023,14:00,2:1,"{'19': 'home', '51': 'away', '67': 'home'}",italy,serie a,ac-monza,empoli-fc
6. november 2022,14:00,2:0,"{'68': 'home', '90': 'home'}",italy,serie a,ac-monza,hellas-verona
7. january 2023,19:45,2:2,"{'10': 'away', '11': 'home', '22': 'away', '90': 'home'}",italy,serie a,ac-monza,inter
18. september 2022,14:00,1:0,{'74': 'home'},italy,serie a,ac-monza,juventus
2. april 2023,14:00,0:2,"{'13': 'away', '56': 'away'}",italy,serie a,ac-monza,lazio-roma
6. february 2023,19:45,2:2,"{'12': 'away', '32': 'home', '58': 'away', '90': 'home'}",italy,serie a,ac-monza,sampdoria
22. january 2023,14:00,1:1,"{'13': 'away', '60': 'home'}",italy,serie a,ac-monza,sassuolo-calcio
9. october 2022,14:00,2:0,"{'32': 'home', '63': 'home'}",italy,serie a,ac-monza,spezia-calcio
14. may 2023,14:00,2:0,"{'18': 'home', '54': 'home'}",italy,serie a,ac-monza,ssc-napoli
13. august 2022,19:45,1:2,"{'43': 'away', '66': 'away', '90': 'home'}",italy,serie a,ac-monza,torino-fc
26. august 2022,17:30,1:2,"{'32': 'home', '36': 'away', '77': 'away'}",italy,serie a,ac-monza,udinese-calcio
18. march 2023,14:00,1:1,"{'61': 'away', '69': 'home'}",italy,serie a,ac-monza,us-cremonese
28. may 2023,14:00,0:1,{'90': 'away'},italy,serie a,ac-monza,us-lecce
13. november 2022,14:00,3:0,"{'24': 'home', '35': 'home', '75': 'home'}",italy,serie a,ac-monza,us-salernitana-1919
4. march 2023,19:45,2:1,"{'49': 'home', '87': 'home', '90': 'away'}",italy,serie a,acf-fiorentina,ac-milan
4. january 2023,17:30,1:1,"{'19': 'home', '61': 'away'}",italy,serie a,acf-fiorentina,ac-monza
27. may 2023,17:00,2:1,"{'11': 'away', '85': 'home', '88': 'home'}",italy,serie a,acf-fiorentina,as-roma
17. april 2023,19:45,1:1,"{'37': 'away', '56': 'home'}",italy,serie a,acf-fiorentina,atalanta
5. february 2023,17:00,1:2,"{'14': 'away', '19': 'home', '47': 'away'}",italy,serie a,acf-fiorentina,bologna-fc
19. february 2023,14:00,1:1,"{'28': 'away', '85': 'home'}",italy,serie a,acf-fiorentina,empoli-fc
18. september 2022,14:00,2:0,"{'13': 'home', '90': 'home'}",italy,serie a,acf-fiorentina,hellas-verona
22. october 2022,19:45,3:4,"{'2': 'away', '15': 'away', '33': 'home', '60': 'home', '73': 'away', '90': 'away'}",italy,serie a,acf-fiorentina,inter
3. september 2022,14:00,1:1,"{None: 'away', '29': 'home'}",italy,serie a,acf-fiorentina,juventus
10. october 2022,19:45,0:4,"{'11': 'away', '25': 'away', '85': 'away', '90': 'away'}",italy,serie a,acf-fiorentina,lazio-roma
30. april 2023,17:00,5:0,"{'45': 'home', '62': 'home', '66': 'home', '76': 'home', '88': 'home'}",italy,serie a,acf-fiorentina,sampdoria
7. january 2023,14:00,2:1,"{'48': 'home', '57': 'away', '90': 'home'}",italy,serie a,acf-fiorentina,sassuolo-calcio
8. april 2023,13:30,1:1,"{'25': 'home', '32': 'away'}",italy,serie a,acf-fiorentina,spezia-calcio
28. august 2022,19:45,0:0,,italy,serie a,acf-fiorentina,ssc-napoli
21. january 2023,19:45,0:1,{'33': 'away'},italy,serie a,acf-fiorentina,torino-fc
