date,time,final_score,goals,country,league,home,away
3. october 2021,12:00,1:2,"{None: 'home', '84': 'away'}",scotland,premiership,aberdeen-fc,celtic-fc
26. december 2021,15:00,2:1,"{'7': 'away', '12': 'home', '70': 'home'}",scotland,premiership,aberdeen-fc,dundee-fc
1. august 2021,15:00,2:0,"{'27': 'home', '51': 'home'}",scotland,premiership,aberdeen-fc,dundee-united
30. october 2021,15:00,2:1,"{'45': 'away', '49': 'home', '69': 'home'}",scotland,premiership,aberdeen-fc,heart-of-midlothian
19. march 2022,15:00,3:1,"{'20': 'away', '37': 'home', '64': 'home', '80': 'home'}",scotland,premiership,aberdeen-fc,hibernian-fc
1. december 2021,19:45,2:0,"{'23': 'home', '75': 'home'}",scotland,premiership,aberdeen-fc,livingston-fc
6. november 2021,15:00,0:2,"{'50': 'away', '57': 'away'}",scotland,premiership,aberdeen-fc,motherwell-fc
18. january 2022,19:45,1:1,"{'20': 'away', '73': 'home'}",scotland,premiership,aberdeen-fc,rangers-fc
29. august 2021,15:00,1:1,"{'33': 'away', '88': 'home'}",scotland,premiership,aberdeen-fc,ross-county-fc
18. september 2021,15:00,0:1,{'84': 'away'},scotland,premiership,aberdeen-fc,st-johnstone-fc
4. december 2021,15:00,4:1,"{'7': 'home', '9': 'home', '42': 'away', '43': 'home', '71': 'home'}",scotland,premiership,aberdeen-fc,st-mirren-fc
28. november 2021,15:00,2:1,"{'20': 'home', '33': 'away', '60': 'home'}",scotland,premiership,celtic-fc,aberdeen-fc
8. august 2021,15:00,6:0,"{'20': 'home', '25': 'home', '49': 'home', '67': 'home', '84': 'home', '90': 'home'}",scotland,premiership,celtic-fc,dundee-fc
26. september 2021,15:00,1:1,"{'16': 'home', '18': 'away'}",scotland,premiership,celtic-fc,dundee-united
2. december 2021,19:45,1:0,{'33': 'home'},scotland,premiership,celtic-fc,heart-of-midlothian
17. january 2022,19:45,2:0,"{'4': 'home', '25': 'home'}",scotland,premiership,celtic-fc,hibernian-fc
30. october 2021,15:00,0:0,,scotland,premiership,celtic-fc,livingston-fc
12. december 2021,15:00,1:0,{'45': 'home'},scotland,premiership,celtic-fc,motherwell-fc
2. february 2022,19:45,3:0,"{'5': 'home', '42': 'home', '44': 'home'}",scotland,premiership,celtic-fc,rangers-fc
11. september 2021,15:00,3:0,"{'64': 'home', '70': 'home', '85': 'home'}",scotland,premiership,celtic-fc,ross-county-fc
9. april 2022,15:00,7:0,"{'8': 'home', '22': 'home', '36': 'home', '51': 'home', '70': 'home', '73': 'home', '78': 'home'}",scotland,premiership,celtic-fc,st-johnstone-fc
21. august 2021,15:00,6:0,"{'17': 'home', '22': 'home', '28': 'home', '44': 'home', '62': 'home', '84': 'home'}",scotland,premiership,celtic-fc,st-mirren-fc
2. april 2022,15:00,2:2,"{'41': 'away', '62': 'home', '81': 'away', '86': 'home'}",scotland,premiership,dundee-fc,aberdeen-fc
7. november 2021,12:00,2:4,"{'8': 'away', '19': 'away', '23': 'home', '47': 'away', '50': 'away', '67': 'home'}",scotland,premiership,dundee-fc,celtic-fc
1. february 2022,19:45,0:0,,scotland,premiership,dundee-fc,dundee-united
18. december 2021,15:00,0:1,{'75': 'away'},scotland,premiership,dundee-fc,heart-of-midlothian
22. august 2021,12:00,2:2,"{'11': 'home', '39': 'away', '59': 'away', '83': 'home'}",scotland,premiership,dundee-fc,hibernian-fc
11. september 2021,15:00,0:0,,scotland,premiership,dundee-fc,livingston-fc
27. november 2021,15:00,3:0,"{'19': 'home', '26': 'home', '49': 'home'}",scotland,premiership,dundee-fc,motherwell-fc
25. september 2021,15:00,0:1,{'16': 'away'},scotland,premiership,dundee-fc,rangers-fc
27. october 2021,19:45,0:5,"{'18': 'away', '27': 'away', '34': 'away', '40': 'away', '71': 'away'}",scotland,premiership,dundee-fc,ross-county-fc
1. december 2021,19:45,1:0,{'39': 'home'},scotland,premiership,dundee-fc,st-johnstone-fc
31. july 2021,15:00,2:2,"{'4': 'away', '44': 'home', '54': 'away', '60': 'home'}",scotland,premiership,dundee-fc,st-mirren-fc
20. november 2021,15:00,1:0,{'80': 'home'},scotland,premiership,dundee-united,aberdeen-fc
5. december 2021,12:00,0:3,"{'19': 'away', '40': 'away', '81': 'away'}",scotland,premiership,dundee-united,celtic-fc
19. september 2021,12:00,1:0,{'81': 'home'},scotland,premiership,dundee-united,dundee-fc
28. august 2021,15:00,0:2,"{'45': 'away', '90': 'away'}",scotland,premiership,dundee-united,heart-of-midlothian
26. december 2021,15:00,1:3,"{'38': 'away', '78': 'away', '90': 'away'}",scotland,premiership,dundee-united,hibernian-fc
11. december 2021,15:00,0:1,{'66': 'away'},scotland,premiership,dundee-united,livingston-fc
23. october 2021,15:00,2:1,"{'35': 'home', '70': 'away', '77': 'home'}",scotland,premiership,dundee-united,motherwell-fc
7. august 2021,12:30,1:0,{'64': 'home'},scotland,premiership,dundee-united,rangers-fc
2. october 2021,15:00,1:0,{'31': 'home'},scotland,premiership,dundee-united,ross-county-fc
30. october 2021,15:00,0:1,{'17': 'away'},scotland,premiership,dundee-united,st-johnstone-fc
18. january 2022,19:45,1:2,"{'15': 'away', '60': 'away', '73': 'home'}",scotland,premiership,dundee-united,st-mirren-fc
22. august 2021,15:00,1:1,"{'56': 'home', '71': 'away'}",scotland,premiership,heart-of-midlothian,aberdeen-fc
31. july 2021,20:00,2:1,"{'8': 'home', '54': 'away', '89': 'home'}",scotland,premiership,heart-of-midlothian,celtic-fc
23. october 2021,15:00,1:1,"{'37': 'home', '83': 'away'}",scotland,premiership,heart-of-midlothian,dundee-fc
6. november 2021,15:00,5:2,"{'22': 'home', '25': 'home', '34': 'away', '50': 'home', '62': 'away', '76': 'home', '86': 'home'}",scotland,premiership,heart-of-midlothian,dundee-united
12. september 2021,12:00,0:0,,scotland,premiership,heart-of-midlothian,hibernian-fc
25. september 2021,15:00,3:0,"{'25': 'home', '33': 'home', '64': 'home'}",scotland,premiership,heart-of-midlothian,livingston-fc
2. october 2021,15:00,2:0,"{'5': 'home', '22': 'home'}",scotland,premiership,heart-of-midlothian,motherwell-fc
12. december 2021,12:00,0:2,"{'9': 'away', '13': 'away'}",scotland,premiership,heart-of-midlothian,rangers-fc
26. december 2021,15:00,2:1,"{'4': 'home', '42': 'home', '72': 'away'}",scotland,premiership,heart-of-midlothian,ross-county-fc
18. january 2022,19:45,2:0,"{'46': 'home', '75': 'home'}",scotland,premiership,heart-of-midlothian,st-johnstone-fc
27. november 2021,15:00,2:0,"{'61': 'home', '75': 'home'}",scotland,premiership,heart-of-midlothian,st-mirren-fc
22. december 2021,19:45,1:0,{'64': 'home'},scotland,premiership,hibernian-fc,aberdeen-fc
27. october 2021,19:45,1:3,"{'10': 'away', '14': 'away', '30': 'away', '37': 'home'}",scotland,premiership,hibernian-fc,celtic-fc
14. december 2021,19:45,1:0,{'34': 'home'},scotland,premiership,hibernian-fc,dundee-fc
2. april 2022,15:00,1:1,"{'10': 'away', '45': 'home'}",scotland,premiership,hibernian-fc,dundee-united
1. february 2022,19:45,0:0,,scotland,premiership,hibernian-fc,heart-of-midlothian
28. august 2021,15:00,2:0,"{'51': 'home', '89': 'home'}",scotland,premiership,hibernian-fc,livingston-fc
4. december 2021,15:00,1:1,"{'33': 'home', '60': 'away'}",scotland,premiership,hibernian-fc,motherwell-fc
1. december 2021,19:45,0:1,{'85': 'away'},scotland,premiership,hibernian-fc,rangers-fc
8. august 2021,15:00,3:0,"{'22': 'home', '26': 'home', '33': 'home'}",scotland,premiership,hibernian-fc,ross-county-fc
26. september 2021,15:00,1:0,{'61': 'home'},scotland,premiership,hibernian-fc,st-johnstone-fc
18. september 2021,15:00,2:2,"{'42': 'away', '57': 'home', '61': 'home', '88': 'away'}",scotland,premiership,hibernian-fc,st-mirren-fc
8. august 2021,15:00,1:2,"{'35': 'home', '47': 'away', '90': 'away'}",scotland,premiership,livingston-fc,aberdeen-fc
19. september 2021,15:00,1:0,{'25': 'home'},scotland,premiership,livingston-fc,celtic-fc
18. january 2022,19:45,2:0,"{'46': 'home', '56': 'home'}",scotland,premiership,livingston-fc,dundee-fc
