date,time,final_score,goals,country,league,home,away
1. april 2023,15:00,1:0,{'61': 'home'},england,championship,birmingham-city,blackburn-rovers
22. april 2023,15:00,0:1,{'74': 'away'},england,championship,birmingham-city,blackpool-fc
8. october 2022,15:00,3:0,"{'3': 'home', '43': 'home', '75': 'home'}",england,championship,birmingham-city,bristol-city
19. october 2022,19:45,1:1,"{'74': 'away', '80': 'home'}",england,championship,birmingham-city,burnley-fc
14. february 2023,19:45,0:2,"{'84': 'away', '90': 'away'}",england,championship,birmingham-city,cardiff-city
17. september 2022,15:00,0:0,,england,championship,birmingham-city,coventry-city
5. august 2022,19:45,2:1,"{'5': 'home', '45': 'home', '61': 'away'}",england,championship,birmingham-city,huddersfield-town
30. december 2022,19:45,0:1,{'77': 'away'},england,championship,birmingham-city,hull-city
25. february 2023,15:00,0:1,{'47': 'away'},england,championship,birmingham-city,luton-town
2. january 2023,15:00,1:3,"{'57': 'away', '59': 'away', '74': 'home', '85': 'away'}",england,championship,birmingham-city,middlesbrough-fc
2. november 2022,19:45,0:0,,england,championship,birmingham-city,millwall-fc
30. august 2022,19:45,1:2,"{'50': 'home', '63': 'away', '90': 'away'}",england,championship,birmingham-city,norwich-city
21. january 2023,15:00,1:2,"{'10': 'away', '15': 'away', '83': 'home'}",england,championship,birmingham-city,preston-north-end
28. october 2022,20:00,2:0,"{'4': 'home', '29': 'home'}",england,championship,birmingham-city,queens-park-rangers
16. december 2022,20:00,3:2,"{'2': 'home', '23': 'home', '36': 'home', '83': 'away', '90': 'away'}",england,championship,birmingham-city,reading-fc
11. march 2023,15:00,2:0,"{'5': 'home', '35': 'home'}",england,championship,birmingham-city,rotherham-united
8. may 2023,15:00,1:2,"{'53': 'away', '56': 'away', '79': 'home'}",england,championship,birmingham-city,sheffield-united
10. april 2023,15:00,0:0,,england,championship,birmingham-city,stoke-city
11. november 2022,20:00,1:2,"{'25': 'away', '49': 'away', '78': 'home'}",england,championship,birmingham-city,sunderland-afc
8. november 2022,19:45,2:2,"{'12': 'home', '30': 'away', '45': 'away', '89': 'home'}",england,championship,birmingham-city,swansea-city
16. august 2022,19:45,1:1,"{'19': 'home', '63': 'away'}",england,championship,birmingham-city,watford-fc
10. february 2023,20:00,2:0,"{'10': 'home', '52': 'home'}",england,championship,birmingham-city,west-bromwich-albion
20. august 2022,15:00,0:1,{'82': 'away'},england,championship,birmingham-city,wigan-athletic
22. october 2022,15:00,2:1,"{'17': 'home', '42': 'home', '80': 'away'}",england,championship,blackburn-rovers,birmingham-city
21. february 2023,19:45,1:0,{'31': 'home'},england,championship,blackburn-rovers,blackpool-fc
3. september 2022,15:00,2:3,"{'42': 'away', '55': 'away', '71': 'home', '73': 'away', '90': 'home'}",england,championship,blackburn-rovers,bristol-city
25. april 2023,20:00,0:1,{'66': 'away'},england,championship,blackburn-rovers,burnley-fc
1. january 2023,12:00,1:0,{'48': 'home'},england,championship,blackburn-rovers,cardiff-city
19. april 2023,19:45,1:1,"{'39': 'home', '90': 'away'}",england,championship,blackburn-rovers,coventry-city
5. november 2022,15:00,1:0,{'35': 'home'},england,championship,blackburn-rovers,huddersfield-town
15. april 2023,19:45,0:0,,england,championship,blackburn-rovers,hull-city
1. may 2023,17:30,1:1,"{'50': 'away', '86': 'home'}",england,championship,blackburn-rovers,luton-town
29. december 2022,19:45,1:2,"{'5': 'home', '46': 'away', '56': 'away'}",england,championship,blackburn-rovers,middlesbrough-fc
1. october 2022,15:00,2:1,"{'57': 'home', '63': 'home', '75': 'away'}",england,championship,blackburn-rovers,millwall-fc
7. april 2023,15:00,0:2,"{'11': 'away', '55': 'away'}",england,championship,blackburn-rovers,norwich-city
10. december 2022,12:00,1:4,"{'17': 'away', '47': 'away', '55': 'home', '63': 'away', '65': 'away'}",england,championship,blackburn-rovers,preston-north-end
30. july 2022,15:00,1:0,{'34': 'home'},england,championship,blackburn-rovers,queens-park-rangers
15. march 2023,19:45,2:1,"{'2': 'home', '68': 'away', '82': 'home'}",england,championship,blackburn-rovers,reading-fc
8. october 2022,15:00,3:0,"{'21': 'home', '63': 'home', '75': 'home'}",england,championship,blackburn-rovers,rotherham-united
4. march 2023,12:30,1:0,{'5': 'home'},england,championship,blackburn-rovers,sheffield-united
27. august 2022,15:00,0:1,{'27': 'away'},england,championship,blackburn-rovers,stoke-city
18. october 2022,20:00,2:0,"{'32': 'home', '49': 'home'}",england,championship,blackburn-rovers,sunderland-afc
18. february 2023,15:00,1:0,{'89': 'home'},england,championship,blackburn-rovers,swansea-city
