date,time,final_score,goals,country,league,home,away
30. april 2022,20:00,2:0,"{'8': 'home', '56': 'home'}",spain,la liga,athletic-bilbao,atletico-madrid
15. may 2022,18:30,2:0,"{'33': 'home', '79': 'home'}",spain,la liga,athletic-bilbao,ca-osasuna
5. november 2021,20:00,0:1,{'6': 'away'},spain,la liga,athletic-bilbao,cadiz-cf
1. october 2021,20:00,1:0,{'44': 'home'},spain,la liga,athletic-bilbao,cd-alaves
17. april 2022,17:30,0:2,"{'11': 'away', '37': 'away'}",spain,la liga,athletic-bilbao,celta-vigo
3. april 2022,13:00,2:1,"{'32': 'home', '86': 'home', '90': 'away'}",spain,la liga,athletic-bilbao,elche-cf
7. february 2022,20:00,2:1,"{'3': 'away', '5': 'home', '16': 'home'}",spain,la liga,athletic-bilbao,espanyol-barcelona
21. august 2021,21:00,1:1,"{'50': 'home', '75': 'away'}",spain,la liga,athletic-bilbao,fc-barcelona
18. march 2022,20:00,1:1,"{'3': 'away', '29': 'home'}",spain,la liga,athletic-bilbao,getafe-cf
26. november 2021,20:00,2:2,"{'10': 'home', '25': 'away', '34': 'away', '76': 'home'}",spain,la liga,athletic-bilbao,granada-cf
7. march 2022,20:00,3:1,"{'63': 'home', None: 'away', '88': 'home'}",spain,la liga,athletic-bilbao,levante-ud
21. september 2021,21:00,1:2,"{'5': 'away', '33': 'home', '90': 'away'}",spain,la liga,athletic-bilbao,rayo-vallecano
11. september 2021,20:00,2:0,"{'68': 'home', '74': 'home'}",spain,la liga,athletic-bilbao,rcd-mallorca
19. december 2021,15:15,3:2,"{'2': 'home', '6': 'away', '52': 'away', '72': 'home', '89': 'home'}",spain,la liga,athletic-bilbao,real-betis
22. december 2021,20:30,1:2,"{'4': 'away', '7': 'away', '10': 'home'}",spain,la liga,athletic-bilbao,real-madrid
20. february 2022,20:00,4:0,"{'68': 'home', None: 'home'}",spain,la liga,athletic-bilbao,real-sociedad
11. december 2021,20:00,0:1,{'38': 'away'},spain,la liga,athletic-bilbao,sevilla-fc
7. may 2022,15:15,0:0,,spain,la liga,athletic-bilbao,valencia-cf
23. october 2021,20:00,2:1,"{'14': 'home', '32': 'away', '77': 'home'}",spain,la liga,athletic-bilbao,villarreal-cf
18. september 2021,15:15,0:0,,spain,la liga,atletico-madrid,athletic-bilbao
20. november 2021,17:30,1:0,{'87': 'home'},spain,la liga,atletico-madrid,ca-osasuna
11. march 2022,20:00,2:1,"{'3': 'home', '45': 'away', '68': 'home'}",spain,la liga,atletico-madrid,cadiz-cf
2. april 2022,20:00,4:1,"{'11': 'home', '63': 'away', '75': 'home', '83': 'home', '90': 'home'}",spain,la liga,atletico-madrid,cd-alaves
26. february 2022,20:00,2:0,"{'36': 'home', '60': 'home'}",spain,la liga,atletico-madrid,celta-vigo
22. august 2021,18:30,1:0,{'39': 'home'},spain,la liga,atletico-madrid,elche-cf
17. april 2022,15:15,2:1,"{'52': 'home', '74': 'away', '90': 'home'}",spain,la liga,atletico-madrid,espanyol-barcelona
2. october 2021,20:00,2:0,"{'23': 'home', '44': 'home'}",spain,la liga,atletico-madrid,fc-barcelona
