date,time,final_score,goals,country,league,home,away
9. april 2023,14:00,0:3,"{'3': 'away', '6': 'away', '45': 'away'}",france,ligue 1,ac-ajaccio,aj-auxerre
28. december 2022,14:00,1:0,{'40': 'home'},france,ligue 1,ac-ajaccio,angers-sco
19. march 2023,12:00,0:2,"{'27': 'away', '84': 'away'}",france,ligue 1,ac-ajaccio,as-monaco
2. october 2022,14:00,1:3,"{'11': 'away', '70': 'home', '89': 'away', '90': 'away'}",france,ligue 1,ac-ajaccio,clermont-foot
26. february 2023,14:00,2:1,"{'23': 'away', '62': 'home', '68': 'home'}",france,ligue 1,ac-ajaccio,estac-troyes
4. september 2022,14:00,0:1,{'51': 'away'},france,ligue 1,ac-ajaccio,fc-lorient
5. february 2023,14:00,0:2,"{'64': 'away', '89': 'away'}",france,ligue 1,ac-ajaccio,fc-nantes
26. august 2022,20:00,1:3,"{'17': 'away', '43': 'away', '67': 'away', '84': 'home'}",france,ligue 1,ac-ajaccio,lille-osc
12. march 2023,14:00,0:1,{'68': 'away'},france,ligue 1,ac-ajaccio,montpellier-hsc
11. september 2022,14:00,0:1,{'65': 'away'},france,ligue 1,ac-ajaccio,ogc-nice
29. january 2023,16:05,0:2,"{'20': 'away', '71': 'away'}",france,ligue 1,ac-ajaccio,olympique-lyon
3. june 2023,20:00,1:0,{'88': 'home'},france,ligue 1,ac-ajaccio,olympique-marseille
21. october 2022,20:00,0:3,"{'24': 'away', '78': 'away', '82': 'away'}",france,ligue 1,ac-ajaccio,paris-saint-germain
14. august 2022,14:00,0:0,,france,ligue 1,ac-ajaccio,rc-lens
5. november 2022,16:00,4:2,"{'6': 'away', '17': 'away', '33': 'home', '34': 'home', '40': 'home', '45': 'home'}",france,ligue 1,ac-ajaccio,rc-strasbourg
23. april 2023,14:00,0:0,,france,ligue 1,ac-ajaccio,stade-brest
11. january 2023,18:00,0:1,{'3': 'away'},france,ligue 1,ac-ajaccio,stade-reims
21. may 2023,12:00,0:5,"{'14': 'away', '31': 'away', '37': 'away', '40': 'away', '71': 'away'}",france,ligue 1,ac-ajaccio,stade-rennes
7. may 2023,14:00,0:0,,france,ligue 1,ac-ajaccio,toulouse-fc
30. october 2022,12:00,1:0,{'8': 'home'},france,ligue 1,aj-auxerre,ac-ajaccio
14. august 2022,14:00,2:2,"{'4': 'home', '10': 'home', '22': 'away', '77': 'away'}",france,ligue 1,aj-auxerre,angers-sco
28. december 2022,16:00,2:3,"{'30': 'home', '45': 'away', '58': 'away', '68': 'home', '85': 'away'}",france,ligue 1,aj-auxerre,as-monaco
1. april 2023,16:00,1:0,{'73': 'home'},france,ligue 1,aj-auxerre,estac-troyes
16. september 2022,20:00,1:3,"{'15': 'away', '36': 'away', '42': 'away', '50': 'home'}",france,ligue 1,aj-auxerre,fc-lorient
16. april 2023,14:00,2:1,"{'5': 'home', '43': 'home', '55': 'away'}",france,ligue 1,aj-auxerre,fc-nantes
22. april 2023,16:00,1:1,"{'36': 'away', '62': 'home'}",france,ligue 1,aj-auxerre,lille-osc
29. january 2023,14:00,0:2,"{'62': 'away', '80': 'away'}",france,ligue 1,aj-auxerre,montpellier-hsc
16. october 2022,14:00,1:1,"{'20': 'away', '42': 'home'}",france,ligue 1,aj-auxerre,ogc-nice
17. february 2023,20:00,2:1,"{'36': 'away', '51': 'home', '53': 'home'}",france,ligue 1,aj-auxerre,olympique-lyon
3. september 2022,16:00,0:2,"{'7': 'away', '84': 'away'}",france,ligue 1,aj-auxerre,olympique-marseille
21. may 2023,19:45,1:2,"{'6': 'away', '8': 'away', '51': 'home'}",france,ligue 1,aj-auxerre,paris-saint-germain
3. june 2023,20:00,1:3,"{'19': 'away', '48': 'away', '71': 'home', '78': 'away'}",france,ligue 1,aj-auxerre,rc-lens
27. august 2022,16:00,1:0,{'29': 'home'},france,ligue 1,aj-auxerre,rc-strasbourg
2. october 2022,14:00,1:1,"{'64': 'away', '86': 'home'}",france,ligue 1,aj-auxerre,stade-brest
5. february 2023,14:00,0:0,,france,ligue 1,aj-auxerre,stade-reims
11. march 2023,16:00,0:0,,france,ligue 1,aj-auxerre,stade-rennes
11. january 2023,18:00,0:5,"{'4': 'away', '33': 'away', '41': 'away', '75': 'away', '88': 'away'}",france,ligue 1,aj-auxerre,toulouse-fc
1. february 2023,18:00,1:2,"{'13': 'home', '65': 'away', '90': 'away'}",france,ligue 1,angers-sco,ac-ajaccio
12. february 2023,14:00,1:1,"{'2': 'home', '22': 'away'}",france,ligue 1,angers-sco,aj-auxerre
7. may 2023,12:00,1:2,"{'45': 'away', '60': 'away', '64': 'home'}",france,ligue 1,angers-sco,as-monaco
27. may 2023,20:00,2:1,"{'13': 'away', '38': 'home', '90': 'home'}",france,ligue 1,angers-sco,estac-troyes
1. january 2023,14:00,1:2,"{'10': 'home', '79': 'away', '88': 'away'}",france,ligue 1,angers-sco,fc-lorient
7. august 2022,14:00,0:0,,france,ligue 1,angers-sco,fc-nantes
8. april 2023,16:00,1:0,{'84': 'home'},france,ligue 1,angers-sco,lille-osc
11. september 2022,14:00,2:1,"{'7': 'away', '9': 'home', '69': 'home'}",france,ligue 1,angers-sco,montpellier-hsc
2. april 2023,14:00,1:1,"{'4': 'away', '15': 'home'}",france,ligue 1,angers-sco,ogc-nice
25. february 2023,16:00,1:3,"{'38': 'away', '80': 'away', '87': 'home', '90': 'away'}",france,ligue 1,angers-sco,olympique-lyon
30. september 2022,20:00,0:3,"{'35': 'away', '50': 'away', '59': 'away'}",france,ligue 1,angers-sco,olympique-marseille
21. april 2023,20:00,1:2,"{'9': 'away', '26': 'away', '87': 'home'}",france,ligue 1,angers-sco,paris-saint-germain
5. november 2022,20:00,1:2,"{'21': 'away', '51': 'away', '87': 'home'}",france,ligue 1,angers-sco,rc-lens
9. october 2022,14:00,2:3,"{'7': 'away', '11': 'home', '33': 'away', '58': 'away', '87': 'home'}",france,ligue 1,angers-sco,rc-strasbourg
21. august 2022,14:00,1:3,"{'10': 'away', '38': 'away', '65': 'away', '70': 'home'}",france,ligue 1,angers-sco,stade-brest
31. august 2022,18:00,2:4,"{'23': 'away', '45': 'away', '59': 'home', '67': 'home', '70': 'away', '90': 'away'}",france,ligue 1,angers-sco,stade-reims
