date,time,final_score,goals,country,league,home,away,season
2022-08-20,17:30,0:3,"{'5': 'away', '11': 'away', '54': 'away'}",england,premier league,Bournemouth,Arsenal,2022-2023
2022-08-06,15:00,2:0,"{'2': 'home', '80': 'home'}",england,premier league,Bournemouth,Aston Villa,2022-2023
2022-10-01,15:00,0:0,,england,premier league,Bournemouth,Brentford,2022-2023
2023-04-04,19:45,0:2,"{'27': 'away', '90': 'away'}",england,premier league,Bournemouth,Brighton,2022-2023
2023-05-06,15:00,1:3,"{'9': 'away', '21': 'home', '82': 'away', '86': 'away'}",england,premier league,Bournemouth,Chelsea,2022-2023
2022-12-31,15:00,0:2,"{'19': 'away', '36': 'away'}",england,premier league,Bournemouth,Crystal Palace,2022-2023
2022-11-12,15:00,3:0,"{'18': 'home', '25': 'home', '69': 'home'}",england,premier league,Bournemouth,Everton,2022-2023
2023-04-01,15:00,2:1,"{'16': 'away', '50': 'home', '79': 'home'}",england,premier league,Bournemouth,Fulham,2022-2023
2023-04-30,14:00,4:1,"{'20': 'home', '24': 'home', '32': 'away', '63': 'home', '90': 'home'}",england,premier league,Bournemouth,Leeds,2022-2023
2022-10-08,15:00,2:1,"{'10': 'away', '67': 'home', '71': 'home'}",england,premier league,Bournemouth,Leicester,2022-2023
2023-03-11,12:30,1:0,{'28': 'home'},england,premier league,Bournemouth,Liverpool,2022-2023
2023-02-25,17:30,1:4,"{'15': 'away', '29': 'away', '45': 'away', '51': 'away', '83': 'home'}",england,premier league,Bournemouth,Man City,2022-2023
2023-05-20,15:00,0:1,{'9': 'away'},england,premier league,Bournemouth,Man United,2022-2023
2023-02-11,17:30,1:1,"{'30': 'home', '45': 'away'}",england,premier league,Bournemouth,Newcastle,2022-2023
2023-01-21,15:00,1:1,"{'28': 'home', '83': 'away'}",england,premier league,Bournemouth,Nott'm Forest,2022-2023
2022-10-19,19:30,0:1,{'9': 'away'},england,premier league,Bournemouth,Southampton,2022-2023
2022-10-29,15:00,2:3,"{'22': 'home', '49': 'home', '57': 'away', '73': 'away', '90': 'away'}",england,premier league,Bournemouth,Tottenham,2022-2023
2023-04-23,14:00,0:4,"{'5': 'away', '12': 'away', '43': 'away', '72': 'away'}",england,premier league,Bournemouth,West Ham,2022-2023
2022-08-31,19:30,0:0,,england,premier league,Bournemouth,Wolves,2022-2023
