date,time,final_score,goals,country,league,home,away,season
2022-05-01,14:00,1:0,{'82': 'home'},italy,serie a,Milan,Fiorentina,2021-2022
2022-01-06,17:30,3:1,"{'8': 'home', '17': 'home', '40': 'away', '82': 'home'}",italy,serie a,Milan,Roma,2021-2022
2022-05-15,17:00,2:0,"{'56': 'home', '75': 'home'}",italy,serie a,Milan,Atalanta,2021-2022
2022-04-04,19:45,0:0,,italy,serie a,Milan,Bologna,2021-2022
2021-08-29,19:45,4:1,"{'12': 'home', '15': 'away', '17': 'home', '24': 'home', '43': 'home'}",italy,serie a,Milan,Cagliari,2021-2022
2022-03-12,19:45,1:0,{'19': 'home'},italy,serie a,Milan,Empoli,2021-2022
2022-04-15,20:00,2:0,"{'11': 'home', '87': 'home'}",italy,serie a,Milan,Genoa,2021-2022
2021-10-16,19:45,3:2,"{'7': 'away', '24': 'away', '59': 'home', '76': 'home', '78': 'home'}",italy,serie a,Milan,Verona,2021-2022
2021-11-07,19:45,1:1,"{'11': 'away', '17': 'home'}",italy,serie a,Milan,Inter,2021-2022
2022-01-23,19:45,0:0,,italy,serie a,Milan,Juventus,2021-2022
2021-09-12,17:00,2:0,"{'45': 'home', '67': 'home'}",italy,serie a,Milan,Lazio,2021-2022
2022-02-13,11:30,1:0,{'8': 'home'},italy,serie a,Milan,Sampdoria,2021-2022
2021-11-28,14:00,1:3,"{'21': 'home', '24': 'away', '33': 'away', '66': 'away'}",italy,serie a,Milan,Sassuolo,2021-2022
2022-01-17,17:30,1:2,"{'45': 'home', '64': 'away', '90': 'away'}",italy,serie a,Milan,Spezia,2021-2022
2021-12-19,19:45,0:1,{'5': 'away'},italy,serie a,Milan,Napoli,2021-2022
2021-10-26,19:45,1:0,{'14': 'home'},italy,serie a,Milan,Torino,2021-2022
2022-02-25,17:50,1:1,"{'29': 'home', '66': 'away'}",italy,serie a,Milan,Udinese,2021-2022
2021-12-04,14:00,2:0,"{'5': 'home', '18': 'home'}",italy,serie a,Milan,Salernitana,2021-2022
2021-09-22,19:45,2:0,"{'68': 'home', '82': 'home'}",italy,serie a,Milan,Venezia,2021-2022
2021-11-20,19:45,4:3,"{'15': 'home', '45': 'home', '60': 'home', '62': 'away', '67': 'away', '85': 'home', '90': 'away'}",italy,serie a,Fiorentina,Milan,2021-2022
2022-05-09,19:45,2:0,"{'5': 'home', '11': 'home'}",italy,serie a,Fiorentina,Roma,2021-2022
2022-02-20,11:30,1:0,{'56': 'home'},italy,serie a,Fiorentina,Atalanta,2021-2022
2022-03-13,11:30,1:0,{'70': 'home'},italy,serie a,Fiorentina,Bologna,2021-2022
2021-10-24,14:00,3:0,"{'21': 'home', '42': 'home', '49': 'home'}",italy,serie a,Fiorentina,Cagliari,2021-2022
2022-04-03,11:30,1:0,{None: 'home'},italy,serie a,Fiorentina,Empoli,2021-2022
