date,time,final_score,goals,country,league,home,away,season
2022-10-15,20:00,0:1,{'47': 'away'},spain,la liga,Ath Bilbao,Ath Madrid,2022-2023
2023-01-09,20:00,0:0,,spain,la liga,Ath Bilbao,Osasuna,2022-2023
2023-02-03,20:00,4:1,"{'10': 'home', '25': 'away', '35': 'home', '44': 'home', '75': 'home'}",spain,la liga,Ath Bilbao,Cadiz,2022-2023
2023-05-20,15:15,2:1,"{'5': 'home', '50': 'away', '54': 'home'}",spain,la liga,Ath Bilbao,Celta,2022-2023
2023-05-28,18:00,0:1,{'90': 'away'},spain,la liga,Ath Bilbao,Elche,2022-2023
2022-09-04,15:15,0:1,{'83': 'away'},spain,la liga,Ath Bilbao,Espanol,2022-2023
2023-03-12,20:00,0:1,{'45': 'away'},spain,la liga,Ath Bilbao,Barcelona,2022-2023
2023-04-01,15:15,0:0,,spain,la liga,Ath Bilbao,Getafe,2022-2023
2023-02-26,13:00,2:3,"{'4': 'away', '19': 'away', '35': 'home', '45': 'away', '89': 'home'}",spain,la liga,Ath Bilbao,Girona,2022-2023
2022-09-17,20:00,3:2,"{'5': 'away', '14': 'home', '28': 'home', '33': 'home', '80': 'away'}",spain,la liga,Ath Bilbao,Vallecano,2022-2023
2022-08-15,16:30,0:0,,spain,la liga,Ath Bilbao,Mallorca,2022-2023
2023-05-04,21:00,0:1,{'6': 'away'},spain,la liga,Ath Bilbao,Betis,2022-2023
2023-01-22,20:00,0:2,"{'24': 'away', '90': 'away'}",spain,la liga,Ath Bilbao,Real Madrid,2022-2023
2023-04-15,15:15,2:0,"{'33': 'home', '70': 'home'}",spain,la liga,Ath Bilbao,Sociedad,2022-2023
2022-11-08,19:00,3:0,"{'18': 'home', '51': 'home', '78': 'home'}",spain,la liga,Ath Bilbao,Valladolid,2022-2023
2023-04-27,21:00,0:1,{'90': 'away'},spain,la liga,Ath Bilbao,Sevilla,2022-2023
2022-09-30,20:00,4:0,"{'10': 'home', '17': 'home', '62': 'home', '84': 'home'}",spain,la liga,Ath Bilbao,Almeria,2022-2023
2022-08-21,16:30,1:0,{None: 'home'},spain,la liga,Ath Bilbao,Valencia,2022-2023
2022-10-30,17:30,1:0,{'59': 'home'},spain,la liga,Ath Bilbao,Villarreal,2022-2023
2023-02-19,17:30,1:0,{'73': 'home'},spain,la liga,Ath Madrid,Ath Bilbao,2022-2023
2023-05-21,15:15,3:0,"{'44': 'home', '62': 'home', '82': 'home'}",spain,la liga,Ath Madrid,Osasuna,2022-2023
2023-05-03,21:00,5:1,"{'2': 'home', '27': 'home', '49': 'home', '57': 'home', '72': 'away', '73': 'home'}",spain,la liga,Ath Madrid,Cadiz,2022-2023
2022-09-10,20:00,4:1,"{'9': 'home', '50': 'home', '66': 'home', '71': 'away', '82': 'home'}",spain,la liga,Ath Madrid,Celta,2022-2023
2022-12-29,20:30,2:0,"{'56': 'home', '74': 'home'}",spain,la liga,Ath Madrid,Elche,2022-2023
2022-11-06,13:00,1:1,"{'62': 'away', '78': 'home'}",spain,la liga,Ath Madrid,Espanol,2022-2023
