league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Grosvenor,h2h,draw,4.4
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Mr Green,h2h,away wins,1.54
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Mr Green,h2h,home wins,5.8
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Mr Green,h2h,draw,4.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Casumo,h2h,away wins,1.54
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Casumo,h2h,home wins,5.8
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Casumo,h2h,draw,4.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Unibet,h2h,away wins,1.53
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Unibet,h2h,home wins,5.75
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Unibet,h2h,draw,4.5
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,BoyleSports,h2h,away wins,1.55
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,BoyleSports,h2h,home wins,5.0
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,BoyleSports,h2h,draw,4.2
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Matchbook,h2h,away wins,1.61
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Matchbook,h2h,home wins,5.9
EPL,2024-01-13T17:30:00Z,Newcastle United,Manchester City,Matchbook,h2h,draw,4.7
,,,,,,,
,,,,,,,
,,,,,,,
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,Paddy Power,h2h,away wins,2.4
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,Paddy Power,h2h,home wins,2.75
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,Paddy Power,h2h,draw,3.5
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,888sport,h2h,away wins,2.4
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,888sport,h2h,home wins,2.8
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,888sport,h2h,draw,3.5
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,Betway,h2h,away wins,2.4
EPL,2024-01-14T14:00:00Z,Everton,Aston Villa,Betway,h2h,home wins,2.7
