league,date,home_team,away_team,bookie,market,bet,odds
EPL,2024-01-30T20:00:00Z,Crystal Palace,Sheffield United,Unibet,totals,under2.5,1.88
EPL,2024-01-30T20:00:00Z,Crystal Palace,Sheffield United,Grosvenor,totals,over2.5,1.88
EPL,2024-01-30T20:00:00Z,Crystal Palace,Sheffield United,Grosvenor,totals,under2.5,1.87
EPL,2024-01-30T20:00:00Z,Crystal Palace,Sheffield United,Mr Green,totals,over2.5,1.88
EPL,2024-01-30T20:00:00Z,Crystal Palace,Sheffield United,Mr Green,totals,under2.5,1.87
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Betfair Sportsbook,totals,over2.5,1.57
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Betfair Sportsbook,totals,under2.5,2.25
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,William Hill,totals,over2.5,1.62
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,William Hill,totals,under2.5,2.2
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Coral,totals,over2.5,1.57
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Coral,totals,under2.5,2.3
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Mr Green,totals,over2.5,1.54
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Mr Green,totals,under2.5,2.35
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Casumo,totals,over2.5,1.56
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Casumo,totals,under2.5,2.4
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Unibet,totals,over2.5,1.56
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Unibet,totals,under2.5,2.4
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Grosvenor,totals,over2.5,1.55
EPL,2024-01-30T20:15:00Z,Aston Villa,Newcastle United,Grosvenor,totals,under2.5,2.38
EPL,2024-01-31T19:30:00Z,Tottenham Hotspur,Brentford,Betfair Sportsbook,totals,over2.5,1.5
